Proper Name,File Name(s),Applicant(s),BLA Number(s),Proprietary Name(s),Strength (merged),Dosage Form(s),Route of Administration,Approval Date(s)
elivaldogene autotemcel,2022_september.csv,Bluebird Bio Inc.,125755,Skysona,2-30 × 10^6 CELL/ML,Injection,Intravenous,09/16/2022
elranatamab-bcmm,2023_august.csv | 2023_september.csv,Pfizer Inc.,761345,Elrexfio,44MG/1.1ML (40MG/ML) | 76MG/1.9ML (40MG/ML),Injection,Subcutaneous,8/14/2023
emapalumab-lzsg,2020_august.csv | 2025_july.csv,Swedish Orphan Biovitrum AB (publ),761107,Gamifant,100MG/20ML (5MG/ML) | 100MG/4ML (25MG/ML) | 250MG/10ML (25MG/ML) | 50MG/2ML (25MG/ML),Injection,Intravenous,"6/26/2020 | June 07, 2023"
emicizumab-kxwh,2024_march.csv,"Genentech, Inc.",761083,Hemlibra,12MG/0.4ML | 300MG/2ML (150MG/ML),Injection,Subcutaneous,"January 31, 2024 | March 16, 2023"
epcoritamab-bysp,2023_may.csv,"Genmab US, Inc.",761324,Epkinly,48MG/0.8ML | 4MG/0.8ML,Injection,Subcutaneous,5/19/2023
epoetin alfa-epbx,2020_july.csv,"Hospira, Inc.",125545,Retacrit,"20,000UNITS/2ML (10,000UNITS/ML) | 20,000UNITS/ML",Injection,"Intravenous, Subcutaneous",6/30/2020
eptinezumab-jjmr,2021_august.csv,"Lundbeck Seattle BioPharmaceuticals, Inc.",761119,Vyepti,100MG/ML,Injection,Intravenous,02/21/2020
etanercept-szzs,2022_november.csv,Sandoz Inc.,761042,Erelzi,25MG,For Injection,Subcutaneous,11/10/22
etanercept-ykro,2024_may.csv,"Samsung Bioepis Co., Ltd.",761066,Eticovo,50MG/ML,Injection,Subcutaneous,3-May-24
etranacogene dezaparvovec,2022_november.csv,CSL Behring LLC,125772,Hemgenix,1X10E13GENOME COPIES/ML,Injection,Intravenous,11/22/22
etuvetidigene autotemcel,2025_december.csv,Fondazione Telethon Ets,125846,waskyra,1.9-11.4x10^6CD34+ CELLS/ML,Solution,Intravenous,9-Dec-25
evinacumab-dgnb,2021_february.csv,"Regeneron Pharmaceuticals, Inc.",761181,Evkeeza,"1,200MG/8ML (150MG/ML) | 345MG/2.3ML (150MG/ML)",Injection,Intravenous,2/11/2021
Exagamglogene autotemcel,2023_december.csv,Vertex Pharmaceuticals Inc,125787,Casgevy,4-13 × 10^6 CELL/ML,Suspension,Intravenous,12/8/2023
Factor IX Complex,2022_may.csv,Baxalta US Inc.,103112,Proplex-T; Bebulin,200-1200U/20ML,For Injection,Intravenous,08/21/1970
faricimab-svoa,2022_january.csv | 2024_july.csv,"Genentech, Inc.",761235,Vabysmo,120MG/ML | 6MG/0.05ML (120MG/ML),Injection,Intravitreal,"01/28/2022 | July 09, 2024"
Fecal Microbiota Spores,2023_may.csv,"Seres Therapeutics, Inc.",125757,Vowst,1X10 LOG 6 AND 3X10 LOG 7CFU/TAB,Capsule,Oral,4/26/2023
"Fecal Microbiota Transplantation, Frozen Preparation",2022_december.csv,Ferring Pharmaceuticals Inc.,125739,Rebyota,BETWEEN 1X10^8 AND 5X10^10CFU,Suspension,Rectal,11/30/2022
Fibrin Sealant (Human),2022_may.csv,Mallinckrodt Pharma IP Trading DAC,125523,Raplixa,0.5G | 1G | 2G,Powder,Topical,04/30/2015
"fibrinogen, human–chmt",2025_december.csv,"Grifols Therapeutics, LLC",125833,FESILTY,1G/50ML,For Injection,Intravenous,16-Dec-25
filgrastim-ayow,2022_february.csv,"Kashiv BioSciences, LLC",761082,Releuko,300MCG/0.5ML | 300MCG/ML | 480MCG/0.8ML | 480MCG/1.6ML,Injection,"Intravenous, Subcutaneous",02/25/2022
filgrastim-sndz,2024_october.csv,Sandoz Inc.,125553,Zarxio,300MCG/0.5ML | 480MCG/0.8ML,Injection,"Intravenous, Subcutaneous","August 09, 2024"
filgrastim-txid,2024_july.csv,"Tanvex BioPharma USA, Inc.",761126,Nypozi,300MCG/0.5ML | 480MCG/0.8ML,Injection,"Intravenous, Subcutaneous","June 28, 2024"
garadacimab-gxii,2025_june.csv,CSL Behring LLC,761367,Andembry,200MG/1.2ML (167MG/ML),Injection,Subcutaneous,"June 16, 2025"
glofitamab-gxbm,2023_june.csv,"Genentech, Inc.",761309,Columvi,10MG/10ML (1MG/ML) | 2.5MG/2.5ML (1MG/ML),Injection,Intravenous,6/15/2023
