Ingredient,Trade_Name(s),Disease_Category,Duration_Class,Substance_Class,ChEMBL_ID,Gene_Symbol(s),Target_Name(s),Mechanism_of_Action,Action_Type(s),Target_ChEMBL_ID(s),N_Targets,Match_Strategy
ACETAMINOPHEN; CODEINE PHOSPHATE,ACETAMINOPHEN AND CODEINE PHOSPHATE,Pain,PERIODIC,chemical,CHEMBL112 | CHEMBL6067642,"PTGS2, PTGS1 | FAAH | TRPV1 | OPRK1, OPRD1, OPRM1",Cyclooxygenase | Fatty-acid amide hydrolase 1 | Transient receptor potential cation channel subfamily V member 1 | Opioid receptors; mu/kappa/delta,Cyclooxygenase inhibitor; Anandamide amidohydrolase inhibitor; Vanilloid receptor opener; Opioid receptors; mu/kappa/delta agonist,INHIBITOR | OPENER | AGONIST,CHEMBL2094253; CHEMBL2243; CHEMBL4794; CHEMBL2095181,4,combination
ACETAMINOPHEN; HYDROCODONE BITARTRATE,ANEXSIA 5/325 | ANEXSIA 7.5/325 | HYDROCODONE BITARTRATE AND ACETAMINOPHEN,Pain,PERIODIC,chemical,CHEMBL112 | CHEMBL3989677,"PTGS2, PTGS1 | FAAH | TRPV1 | OPRK1, OPRD1, OPRM1",Cyclooxygenase | Fatty-acid amide hydrolase 1 | Transient receptor potential cation channel subfamily V member 1 | Opioid receptors; mu/kappa/delta,Cyclooxygenase inhibitor; Anandamide amidohydrolase inhibitor; Vanilloid receptor opener; Opioid receptors; mu/kappa/delta agonist,INHIBITOR | OPENER | AGONIST,CHEMBL2094253; CHEMBL2243; CHEMBL4794; CHEMBL2095181,4,combination
ACETAMINOPHEN; IBUPROFEN,ACETAMINOPHEN AND IBUPROFEN | ADVIL DUAL ACTION WITH ACETAMINOPHEN | COMBOGESIC,Pain,PERIODIC,chemical,CHEMBL112 | CHEMBL521,"PTGS2, PTGS1 | FAAH | TRPV1",Cyclooxygenase | Fatty-acid amide hydrolase 1 | Transient receptor potential cation channel subfamily V member 1,Cyclooxygenase inhibitor; Anandamide amidohydrolase inhibitor; Vanilloid receptor opener,INHIBITOR | OPENER,CHEMBL2094253; CHEMBL2243; CHEMBL4794,3,combination
ACETAMINOPHEN; IBUPROFEN SODIUM,COMBOGESIC IV,Pain,PERIODIC,chemical,CHEMBL112 | CHEMBL3989408,"PTGS2, PTGS1 | FAAH | TRPV1",Cyclooxygenase | Fatty-acid amide hydrolase 1 | Transient receptor potential cation channel subfamily V member 1,Cyclooxygenase inhibitor; Anandamide amidohydrolase inhibitor; Vanilloid receptor opener,INHIBITOR | OPENER,CHEMBL2094253; CHEMBL2243; CHEMBL4794,3,combination
ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,OXYCET | OXYCODONE AND ACETAMINOPHEN | PERCOCET,Pain,PERIODIC,chemical,CHEMBL112 | CHEMBL1200890,"PTGS2, PTGS1 | FAAH | TRPV1 | OPRM1",Cyclooxygenase | Fatty-acid amide hydrolase 1 | Transient receptor potential cation channel subfamily V member 1 | Mu-type opioid receptor,Cyclooxygenase inhibitor; Anandamide amidohydrolase inhibitor; Vanilloid receptor opener; Mu opioid receptor agonist,INHIBITOR | OPENER | AGONIST,CHEMBL2094253; CHEMBL2243; CHEMBL4794; CHEMBL233,4,combination
ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,Pain,PERIODIC,chemical,CHEMBL112 | CHEMBL1237065,"PTGS2, PTGS1 | FAAH | TRPV1 | OPRM1",Cyclooxygenase | Fatty-acid amide hydrolase 1 | Transient receptor potential cation channel subfamily V member 1 | Mu-type opioid receptor,Cyclooxygenase inhibitor; Anandamide amidohydrolase inhibitor; Vanilloid receptor opener; Mu opioid receptor agonist,INHIBITOR | OPENER | AGONIST,CHEMBL2094253; CHEMBL2243; CHEMBL4794; CHEMBL233,4,combination
ACETAZOLAMIDE,ACETAZOLAMIDE,Neurology,CHRONIC,chemical,CHEMBL20,CA1 | CA2 | CA12 | CA4,Carbonic anhydrase 1 | Carbonic anhydrase 2 | Carbonic anhydrase 12 | Carbonic anhydrase 4,Carbonic anhydrase I inhibitor; Carbonic anhydrase II inhibitor; Carbonic anhydrase XII inhibitor; Carbonic anhydrase IV inhibitor,INHIBITOR,CHEMBL261; CHEMBL205; CHEMBL3242; CHEMBL3729,4,direct
ACETAZOLAMIDE SODIUM,ACETAZOLAMIDE SODIUM,Neurology,CHRONIC,chemical,CHEMBL1200814,CA1 | CA2 | CA12 | CA4,Carbonic anhydrase 1 | Carbonic anhydrase 2 | Carbonic anhydrase 12 | Carbonic anhydrase 4,Carbonic anhydrase I inhibitor; Carbonic anhydrase II inhibitor; Carbonic anhydrase XII inhibitor; Carbonic anhydrase IV inhibitor,INHIBITOR,CHEMBL261; CHEMBL205; CHEMBL3242; CHEMBL3729,4,direct
"ACETIC ACID, GLACIAL",ACETIC ACID | ACETIC ACID 0.25% IN PLASTIC CONTAINER,Other/Unclassified,OTHER,concept,,,,,,,0,not_found
"ACETIC ACID, GLACIAL; HYDROCORTISONE",HYDROCORTISONE AND ACETIC ACID | VOSOL HC,Autoimmune,PERIODIC,chemical,CHEMBL389621,NR3C1,Glucocorticoid receptor,Glucocorticoid receptor agonist,AGONIST,CHEMBL2034,1,component
ACETOHYDROXAMIC ACID,LITHOSTAT,Other/Unclassified,OTHER,chemical,CHEMBL734,"ureA, ureB, ureC",Bacterial urease,Bacterial urease inhibitor,INHIBITOR,CHEMBL2364683,1,direct
ACETYLCHOLINE CHLORIDE,MIOCHOL-E,Other/Unclassified,OTHER,chemical,CHEMBL1184,CHRM3,Muscarinic acetylcholine receptor M3,Muscarinic acetylcholine receptor M3 agonist,AGONIST,CHEMBL245,1,direct
ACETYLCYSTEINE,ACETADOTE | ACETYLCYSTEINE,Respiratory,PERIODIC,chemical,CHEMBL600,,,Glutathione precursor; Mycolytic,,,0,direct
ACITRETIN,ACITRETIN,Dermatology,CHRONIC,chemical,CHEMBL1131,"RXRB, RARG, RXRG, RARB, RARA, RXRA",Retinoid receptor,Retinoid receptor agonist,AGONIST,CHEMBL2363071,1,direct
ACLIDINIUM BROMIDE,TUDORZA PRESSAIR,Respiratory,CHRONIC,chemical,CHEMBL551466,CHRM3,Muscarinic acetylcholine receptor M3,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST,CHEMBL245,1,direct
ACLIDINIUM BROMIDE; FORMOTEROL FUMARATE,DUAKLIR PRESSAIR,Respiratory,CHRONIC,chemical,CHEMBL551466 | CHEMBL3989798,CHRM3 | ADRB2,Muscarinic acetylcholine receptor M3 | Beta-2 adrenergic receptor,Muscarinic acetylcholine receptor M3 antagonist; Beta-2 adrenergic receptor agonist,ANTAGONIST | AGONIST,CHEMBL245; CHEMBL210,2,combination
ACOLTREMON,TRYPTYR,Other/Unclassified,OTHER,chemical,,,,,,,0,not_found
ACORAMIDIS HYDROCHLORIDE,ATTRUBY,Other/Unclassified,OTHER,chemical,CHEMBL4650226,TTR,Transthyretin,Transthyretin stabiliser,STABILISER,CHEMBL3194,1,direct
ACYCLOVIR,ACYCLOVIR | ZOVIRAX,Infectious,PERIODIC,chemical,CHEMBL184,,DNA polymerase catalytic subunit,Human herpesvirus 1 DNA polymerase inhibitor,INHIBITOR,CHEMBL1872,1,direct
ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,Infectious,PERIODIC,chemical,CHEMBL1200380,,DNA polymerase catalytic subunit,Human herpesvirus 1 DNA polymerase inhibitor,INHIBITOR,CHEMBL1872,1,direct
ACYCLOVIR; HYDROCORTISONE,XERESE,Infectious,PERIODIC,chemical,CHEMBL184 | CHEMBL389621,NR3C1,DNA polymerase catalytic subunit | Glucocorticoid receptor,Human herpesvirus 1 DNA polymerase inhibitor; Glucocorticoid receptor agonist,INHIBITOR | AGONIST,CHEMBL1872; CHEMBL2034,2,combination
ADAGRASIB,KRAZATI,Other/Unclassified,OTHER,chemical,CHEMBL4594350,KRAS,GTPase KRas,GTPase KRas inhibitor,INHIBITOR,CHEMBL2189121,1,direct
ADAPALENE,ADAPALENE | DIFFERIN,Dermatology,CHRONIC,chemical,CHEMBL1265,"RARG, RARB, RARA",Retinoic acid receptor,Retinoic acid receptor agonist,AGONIST,CHEMBL2363069,1,direct
ADAPALENE; BENZOYL PEROXIDE,ADAPALENE AND BENZOYL PEROXIDE | DIFFERIN EPIDUO | EPIDUO | EPIDUO FORTE,Dermatology,CHRONIC,chemical,CHEMBL1265 | CHEMBL1200370,"RARG, RARB, RARA",Retinoic acid receptor,Retinoic acid receptor agonist; Releases active oxygen,AGONIST,CHEMBL2363069,1,combination
ADAPALENE; BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,CABTREO,Dermatology,CHRONIC,chemical,CHEMBL1265 | CHEMBL1200370 | CHEMBL3184512,"RARG, RARB, RARA | rpsB, rplD, rpsA, rpsJ, rpsK, rpsL, rpsM, rpsN, rpsO, rpsP, rpsQ, rpsR, rpsS, rpsT, rpsU, rpsC, rpsD, rpsE, rpsF, rpsG, rpsH, rpsI, rplJ, rplK, rplM, rplN, rplO, rplP, rplQ, rplR, rplS, rplA, rplT, rplU, rplV, rplW, rplX, rplY, rpmA, rpmB, rpmC, rplB, rpmD, ykgM, rpmE, rpmF, rpmG, rpmH, rpmI, ykgO, rpmJ, rplC, rplE, rplF, rplL",Retinoic acid receptor | Bacterial 70S ribosome,Retinoic acid receptor agonist; Releases active oxygen; Bacterial 70S ribosome inhibitor,AGONIST | INHIBITOR,CHEMBL2363069; CHEMBL2363135,2,combination
ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL,Infectious,CHRONIC,chemical,CHEMBL922,P,DNA polymerase/reverse transcriptase,DNA polymerase/reverse transcriptase inhibitor,INHIBITOR,CHEMBL2362994,1,direct
ADENOSINE,ADENOSINE,Cardiovascular,SHORT,chemical,CHEMBL477,"ADORA1, ADORA2B, ADORA3, ADORA2A",Adenosine receptor,Adenosine receptor agonist,AGONIST,CHEMBL2111329,1,direct
AFAMELANOTIDE,SCENESSE,Other/Unclassified,OTHER,chemical,CHEMBL441738,MC1R,Melanocyte-stimulating hormone receptor,Melanocortin receptor 1 agonist,AGONIST,CHEMBL3795,1,direct
AFATINIB DIMALEATE,GILOTRIF,Oncology,LONG-TERM,chemical,CHEMBL2105712,EGFR | ERBB2 | ERBB4,Epidermal growth factor receptor | Receptor tyrosine-protein kinase erbB-2 | Receptor tyrosine-protein kinase erbB-4,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,INHIBITOR,CHEMBL203; CHEMBL1824; CHEMBL3009,3,direct
AFICAMTEN,MYQORZO,Other/Unclassified,OTHER,chemical,,,,,,,0,not_found
AIR POLYMER-TYPE A,EXEM FOAM KIT,Other/Unclassified,OTHER,polymer,CHEMBL4594264,,,Ultrasound contrast agent,,,0,direct
ALBENDAZOLE,ALBENDAZOLE,Infectious,SHORT,chemical,CHEMBL1483,,Tubulin,Tubulin inhibitor,INHIBITOR,CHEMBL2364704; CHEMBL2364705,2,direct
ALBUMIN HUMAN,OPTISON,Other/Unclassified,OTHER,structurallyDiverse,CHEMBL1201451,,Bilirubin,Bilirubin sequestering agent,SEQUESTERING AGENT,CHEMBL2364174,1,direct
ALBUTEROL SULFATE,ALBUTEROL SULFATE | PROAIR HFA | PROAIR RESPICLICK | PROVENTIL-HFA | VENTOLIN HFA,Respiratory,CHRONIC,chemical,CHEMBL1441059,ADRB2,Beta-2 adrenergic receptor,Beta-2 adrenergic receptor agonist,AGONIST,CHEMBL210,1,direct
ALBUTEROL SULFATE; BUDESONIDE,AIRSUPRA,Respiratory,CHRONIC,chemical,CHEMBL1441059 | CHEMBL1370,ADRB2 | NR3C1,Beta-2 adrenergic receptor | Glucocorticoid receptor,Beta-2 adrenergic receptor agonist; Glucocorticoid receptor agonist,AGONIST,CHEMBL210; CHEMBL2034,2,combination
ALBUTEROL SULFATE; IPRATROPIUM BROMIDE,ALBUTEROL SULFATE AND IPRATROPIUM BROMIDE | COMBIVENT RESPIMAT,Respiratory,CHRONIC,chemical,CHEMBL1441059 | CHEMBL2134724,ADRB2 | CHRM3,Beta-2 adrenergic receptor | Muscarinic acetylcholine receptor M3,Beta-2 adrenergic receptor agonist; Muscarinic acetylcholine receptor M3 antagonist,AGONIST | ANTAGONIST,CHEMBL210; CHEMBL245,2,combination
ALCAFTADINE,ALCAFTADINE | LASTACAFT,Other/Unclassified,OTHER,chemical,CHEMBL1201747,HRH1,Histamine H1 receptor,Histamine H1 receptor antagonist,ANTAGONIST,CHEMBL231,1,direct
ALCLOMETASONE DIPROPIONATE,ALCLOMETASONE DIPROPIONATE,Other/Unclassified,OTHER,chemical,CHEMBL1200989,NR3C1,Glucocorticoid receptor,Glucocorticoid receptor agonist,AGONIST,CHEMBL2034,1,direct
ALCOHOL; CHLORHEXIDINE GLUCONATE,AVAGARD,Other/Unclassified,OTHER,chemical,CHEMBL4297088,,Cell membrane,Cell membrane inhibitor,INHIBITOR,CHEMBL2364031,1,component
ALECTINIB HYDROCHLORIDE,ALECENSA,Oncology,LONG-TERM,chemical,CHEMBL3707320,"ALK | RET | ALK, EML4",ALK tyrosine kinase receptor | Proto-oncogene tyrosine-protein kinase receptor Ret | EML4-ALK,ALK tyrosine kinase receptor inhibitor; Tyrosine-protein kinase receptor RET inhibitor; EML4-ALK inhibitor,INHIBITOR,CHEMBL4247; CHEMBL2041; CHEMBL3883330,3,direct
ALENDRONATE SODIUM,ALENDRONATE SODIUM | BINOSTO | FOSAMAX,Metabolic,CHRONIC,chemical,CHEMBL675,FDPS,Farnesyl pyrophosphate synthase,Farnesyl diphosphate synthase inhibitor,INHIBITOR,CHEMBL1782,1,direct
ALENDRONATE SODIUM; CHOLECALCIFEROL,FOSAMAX PLUS D,Metabolic,CHRONIC,chemical,CHEMBL675 | CHEMBL1042,FDPS | VDR,Farnesyl pyrophosphate synthase | Vitamin D3 receptor,Farnesyl diphosphate synthase inhibitor; Vitamin D receptor agonist,INHIBITOR | AGONIST,CHEMBL1782; CHEMBL1977,2,combination
ALFENTANIL HYDROCHLORIDE,ALFENTA,Other/Unclassified,OTHER,chemical,CHEMBL1200531,OPRM1,Mu-type opioid receptor,Mu opioid receptor agonist,AGONIST,CHEMBL233,1,direct
ALFUZOSIN HYDROCHLORIDE,ALFUZOSIN HYDROCHLORIDE | UROXATRAL,Metabolic,CHRONIC,chemical,CHEMBL1723,"ADRA1A, ADRA1D, ADRA1B",Adrenergic receptor alpha-1,Adrenergic receptor alpha-1 agonist,AGONIST,CHEMBL2094251,1,direct
ALISKIREN HEMIFUMARATE,ALISKIREN HEMIFUMARATE | TEKTURNA,Cardiovascular,CHRONIC,chemical,CHEMBL3545059,REN,Renin,Renin inhibitor,INHIBITOR,CHEMBL286,1,direct
ALITRETINOIN,PANRETIN,Dermatology,CHRONIC,chemical,CHEMBL705,"RXRB, RARG, RXRG, RARB, RARA, RXRA",Retinoid receptor,Retinoid receptor agonist,AGONIST,CHEMBL2363071,1,direct
ALLOPURINOL,ALLOPURINOL | LOPURIN | ZYLOPRIM,Metabolic,CHRONIC,chemical,CHEMBL1467,XDH,Xanthine dehydrogenase/oxidase,Xanthine dehydrogenase inhibitor,INHIBITOR,CHEMBL1929,1,direct
ALLOPURINOL SODIUM,ALLOPURINOL SODIUM | ALOPRIM,Metabolic,CHRONIC,chemical,CHEMBL1200477,XDH,Xanthine dehydrogenase/oxidase,Xanthine dehydrogenase inhibitor,INHIBITOR,CHEMBL1929,1,direct
ALMOTRIPTAN MALATE,ALMOTRIPTAN MALATE,Neurology,PERIODIC,chemical,CHEMBL1200521,HTR1F | HTR1B | HTR1D,5-hydroxytryptamine receptor 1F | 5-hydroxytryptamine receptor 1B | 5-hydroxytryptamine receptor 1D,Serotonin 1f (5-HT1f) receptor agonist; Serotonin 1b (5-HT1b) receptor agonist; Serotonin 1d (5-HT1d) receptor agonist,AGONIST,CHEMBL1805; CHEMBL1898; CHEMBL1983,3,direct
ALOGLIPTIN BENZOATE,NESINA,Metabolic,CHRONIC,chemical,CHEMBL227529,DPP4,Dipeptidyl peptidase 4,Dipeptidyl peptidase IV inhibitor,INHIBITOR,CHEMBL284,1,direct
ALOGLIPTIN BENZOATE; METFORMIN HYDROCHLORIDE,KAZANO,Metabolic,CHRONIC,chemical,CHEMBL227529 | CHEMBL1703,"DPP4 | MT-ND6, NDUFA10, NDUFS8, MT-ND4L, NDUFA6, MT-ND1, NDUFB6, COXFA4, NDUFA11, NDUFB7, MT-ND2, NDUFS2, MT-ND5, NDUFA8, NDUFB5, MT-ND4, MT-ND3, NDUFAB1, NDUFA1, NDUFS4, NDUFB3, NDUFC1, NDUFA2, NDUFS5, NDUFS7, NDUFS6, NDUFB1, NDUFS3, NDUFA3, NDUFB4, NDUFB8, NDUFB2, NDUFA7, NDUFC2, NDUFB10, NDUFV2, NDUFS1, NDUFV1, NDUFV3, NDUFA5, NDUFA9, NDUFAF2, NDUFAF3, COXFA4L2, NDUFB11, NDUFAF4, NDUFA13, NDUFA12, NDUFAF1, NDUFB9 | GPD2","Dipeptidyl peptidase 4 | Mitochondrial complex I (NADH dehydrogenase) | Glycerol-3-phosphate dehydrogenase, mitochondrial",Dipeptidyl peptidase IV inhibitor; Mitochondrial complex I (NADH dehydrogenase) inhibitor; Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,INHIBITOR,CHEMBL284; CHEMBL2363065; CHEMBL3391681,3,combination
ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,OSENI,Metabolic,CHRONIC,chemical,CHEMBL227529 | CHEMBL1715,DPP4 | PPARG,Dipeptidyl peptidase 4 | Peroxisome proliferator-activated receptor gamma,Dipeptidyl peptidase IV inhibitor; Peroxisome proliferator-activated receptor gamma agonist,INHIBITOR | AGONIST,CHEMBL284; CHEMBL235,2,combination
ALOSETRON HYDROCHLORIDE,ALOSETRON HYDROCHLORIDE | LOTRONEX,Other/Unclassified,OTHER,chemical,CHEMBL1200885,HTR3A,5-hydroxytryptamine receptor 3A,Serotonin 3a (5-HT3a) receptor antagonist,ANTAGONIST,CHEMBL1899,1,direct
ALPELISIB,PIQRAY | VIJOICE,Oncology,LONG-TERM,chemical,CHEMBL2396661,PIK3CA,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",PI3-kinase p110-alpha subunit inhibitor,INHIBITOR,CHEMBL4005,1,direct
