Ingredient,Trade_Name(s),Substance_Class,UNII,Disease_Category,Duration_Class,NDA_Count,ANDA_Count,Generic_Competitor_Count,Earliest_Approval,Medicaid_Total_Reimbursed_2023_USD,Medicaid_Total_Reimbursed_2023_USD_M,Medicaid_Total_Prescriptions_2023,Medicaid_Total_Units_2023,NADAC_Avg_Per_Unit_2024_USD,Medicaid_Matched_Product_Names
ACETAMINOPHEN; IBUPROFEN,ACETAMINOPHEN AND IBUPROFEN | ADVIL DUAL ACTION WITH ACETAMINOPHEN | COMBOGESIC,chemical,362O9ITL9D | WK2XYI10QM,Pain,PERIODIC,2,9,9,2020-02-28,,,,,,
ACETAMINOPHEN; IBUPROFEN SODIUM,COMBOGESIC IV,chemical,362O9ITL9D | RM1CE97Z4N,Pain,PERIODIC,1,0,0,2023-10-17,,,,,,
ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,OXYCET | OXYCODONE AND ACETAMINOPHEN | PERCOCET,chemical,362O9ITL9D | C1ENJ2TE6C,Pain,PERIODIC,0,20,57,1983-12-07,5381030.45,5.38,3320,206593,29.7272,PERCOCET | PERCOCET 1 | PERCOCET 5 | PERCOCET 7
ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,chemical,362O9ITL9D | 9N7R477WCK,Pain,PERIODIC,0,6,6,2008-09-26,,,,,,
ACETAZOLAMIDE,ACETAZOLAMIDE,chemical,O3FX965V0I,Neurology,CHRONIC,0,21,33,1997-05-28,,,,,0.1631,
ACETAZOLAMIDE SODIUM,ACETAZOLAMIDE SODIUM,chemical,429ZT169UH,Neurology,CHRONIC,0,6,6,1995-02-28,,,,,,
"ACETIC ACID, GLACIAL",ACETIC ACID | ACETIC ACID 0.25% IN PLASTIC CONTAINER,concept,,Other/Unclassified,OTHER,3,2,2,1982-02-19,3080757.82,3.08,74425,4536322,1.3358,ACETIC ACI
"ACETIC ACID, GLACIAL; HYDROCORTISONE",HYDROCORTISONE AND ACETIC ACID | VOSOL HC,chemical, | WI4X0X7BPJ,Autoimmune,PERIODIC,1,2,2,1985-03-04,,,,,,
ACETOHYDROXAMIC ACID,LITHOSTAT,chemical,4RZ82L2GY5,Other/Unclassified,OTHER,1,0,0,1983-05-31,110133.99,0.11,229,17089,6.6729,LITHOSTAT
ACETYLCHOLINE CHLORIDE,MIOCHOL-E,chemical,AF73293C2R,Other/Unclassified,OTHER,1,0,0,1993-09-22,35687.04,0.04,96,90,,MIOCHOL-E
ACETYLCYSTEINE,ACETADOTE | ACETYLCYSTEINE,chemical,WYQ7N0BPYC,Respiratory,PERIODIC,1,17,19,1994-08-30,34314.61,0.03,141,7283,0.6004,ACETADOTE
ACITRETIN,ACITRETIN,chemical,LCH760E9T7,Dermatology,CHRONIC,0,6,17,2013-04-04,4333115.42,4.33,14065,521410,7.6398,ACITRETIN
ACLIDINIUM BROMIDE,TUDORZA PRESSAIR,chemical,UQW7UF9N91,Respiratory,CHRONIC,1,0,0,2012-07-23,,,,,,
ACLIDINIUM BROMIDE; FORMOTEROL FUMARATE,DUAKLIR PRESSAIR,chemical,UQW7UF9N91 | W34SHF8J2K,Respiratory,CHRONIC,1,0,0,2019-03-29,,,,,,
ACOLTREMON,TRYPTYR,chemical,1L7BVT4Z4Z,Other/Unclassified,OTHER,1,0,0,2025-05-28,,,,,,
ACORAMIDIS HYDROCHLORIDE,ATTRUBY,chemical,VY9C88C2NV,Other/Unclassified,OTHER,1,0,0,2024-11-22,,,,,,
ACYCLOVIR,ACYCLOVIR | ZOVIRAX,chemical,X4HES1O11F,Infectious,PERIODIC,2,41,51,1982-03-29,41574159.46,41.57,1876941,105592876,6.7987,ACYCLOVIR | ZOVIRAX | ZOVIRAX 5% | ZOVIRAX CR | ZOVIRAX OI
ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,chemical,927L42J563,Infectious,PERIODIC,0,5,5,1998-05-13,,,,,,
ACYCLOVIR; HYDROCORTISONE,XERESE,chemical,X4HES1O11F | WI4X0X7BPJ,Infectious,PERIODIC,1,0,0,2009-07-31,362029.00,0.36,256,1470,236.2280,XERESE | XERESE 5%- | XERESE CRE
ADAGRASIB,KRAZATI,chemical,8EOO6HQF8Y,Other/Unclassified,OTHER,1,0,0,2022-12-12,5992472.14,5.99,340,53822,,KRAZATI | KRAZATI  A | KRAZATI (A | KRAZATI 20
ADAPALENE,ADAPALENE | DIFFERIN,chemical,1L4806J2QF,Dermatology,CHRONIC,3,10,10,2000-05-26,22150881.28,22.15,239234,10761987,1.0641,ADAPALENE | DIFFERIN | DIFFERIN . | DIFFERIN 0 | DIFFERIN C
ADAPALENE; BENZOYL PEROXIDE,ADAPALENE AND BENZOYL PEROXIDE | DIFFERIN EPIDUO | EPIDUO | EPIDUO FORTE,chemical,1L4806J2QF | W9WZN9A0GM,Dermatology,CHRONIC,3,9,9,2008-12-08,34016.18,0.03,54,2445,,EPIDUO | EPIDUO FOR | EPIDUO PUM
ADAPALENE; BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,CABTREO,chemical,1L4806J2QF | W9WZN9A0GM | EH6D7113I8,Dermatology,CHRONIC,1,0,0,2023-10-20,,,,,18.1843,
ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL,chemical,U6Q8Z01514,Infectious,CHRONIC,0,2,2,2013-08-29,1194229.81,1.19,1488,52692,22.2776,ADEFOVIR D
ADENOSINE,ADENOSINE,chemical,K72T3FS567,Cardiovascular,SHORT,0,14,20,2004-06-16,3418986.60,3.42,21794,348736,,ADENOSINE
AFAMELANOTIDE,SCENESSE,chemical,QW68W3J66U,Other/Unclassified,OTHER,1,0,0,2019-10-08,,,,,,SCENESSE
AFATINIB DIMALEATE,GILOTRIF,chemical,V1T5K7RZ0B,Oncology,LONG-TERM,1,0,0,2013-07-12,5828560.72,5.83,546,16557,,GILOTRIF | GILOTRIF 2 | GILOTRIF 3 | GILOTRIF 4
AFICAMTEN,MYQORZO,chemical,B1I77MH6K1,Other/Unclassified,OTHER,1,0,0,2025-12-19,,,,,,
AIR POLYMER-TYPE A,EXEM FOAM KIT,polymer,F68VH75CJC,Other/Unclassified,OTHER,1,0,0,2019-11-07,,,,,,
ALBENDAZOLE,ALBENDAZOLE,chemical,F4216019LN,Infectious,SHORT,0,6,6,2018-12-14,,,,,7.1589,
ALBUMIN HUMAN,OPTISON,structurallyDiverse,ZIF514RVZR,Other/Unclassified,OTHER,1,0,0,1997-12-31,7147291.13,7.15,25374,9351560,,ALBUMIN (H | ALBUMIN 25 | ALBUMIN 5% | ALBUMIN HU | OPTISON
ALBUTEROL SULFATE,ALBUTEROL SULFATE | PROAIR HFA | PROAIR RESPICLICK | PROVENTIL-HFA | VENTOLIN HFA,chemical,021SEF3731,Respiratory,CHRONIC,4,30,41,1989-12-05,978150949.88,978.15,32074341,1705160570,7.1609,ALBUTEROL | PROAIR HFA
ALBUTEROL SULFATE; BUDESONIDE,AIRSUPRA,chemical,021SEF3731 | Q3OKS62Q6X,Respiratory,CHRONIC,1,0,0,2023-01-10,394652.88,0.39,820,8960,42.6414,AIRSUPRA | AIRSUPRA 9
ALBUTEROL SULFATE; IPRATROPIUM BROMIDE,ALBUTEROL SULFATE AND IPRATROPIUM BROMIDE | COMBIVENT RESPIMAT,chemical,021SEF3731 | J697UZ2A9J,Respiratory,CHRONIC,1,4,4,2007-12-31,,,,,117.2750,
ALCAFTADINE,ALCAFTADINE | LASTACAFT,chemical,7Z8O94ECSX,Other/Unclassified,OTHER,1,2,2,2010-07-28,88404.62,0.09,3762,20417,2.8382,LASTACAFT
ALCLOMETASONE DIPROPIONATE,ALCLOMETASONE DIPROPIONATE,chemical,S56PQL4N1V,Other/Unclassified,OTHER,0,4,4,2004-07-29,,,,,0.5201,
ALCOHOL; CHLORHEXIDINE GLUCONATE,AVAGARD,chemical,3K9958V90M | MOR84MUD8E,Other/Unclassified,OTHER,1,0,0,2001-06-07,,,,,,
ALECTINIB HYDROCHLORIDE,ALECENSA,chemical,P9YY73LO6J,Oncology,LONG-TERM,1,0,0,2015-12-11,91421624.22,91.42,5492,1267712,,ALECENSA | ALECENSA 1
ALENDRONATE SODIUM,ALENDRONATE SODIUM | BINOSTO | FOSAMAX,chemical,2UY4M2U3RA,Metabolic,CHRONIC,2,8,25,2000-10-20,360464.71,0.36,1241,7200,7.2819,FOSAMAX | FOSAMAX 70 | FOSAMAX ON | FOSAMAX PL
ALENDRONATE SODIUM; CHOLECALCIFEROL,FOSAMAX PLUS D,chemical,2UY4M2U3RA | 1C6V77QF41,Metabolic,CHRONIC,1,0,0,2005-04-07,,,,,47.7734,
ALFENTANIL HYDROCHLORIDE,ALFENTA,chemical,11S92G0TIW,Other/Unclassified,OTHER,1,0,0,1986-12-29,5053.71,0.01,51,53,,ALFENTA 2M | ALFENTANIL
ALFUZOSIN HYDROCHLORIDE,ALFUZOSIN HYDROCHLORIDE | UROXATRAL,chemical,75046A1XTN,Metabolic,CHRONIC,1,4,4,2003-06-12,2055853.36,2.06,166831,6917959,0.1056,ALFUZOSIN
ALISKIREN HEMIFUMARATE,ALISKIREN HEMIFUMARATE | TEKTURNA,chemical,C8A0P8G029,Cardiovascular,CHRONIC,1,1,2,2007-03-05,343355.02,0.34,1465,57343,8.1612,ALISKIREN | TEKTURNA | TEKTURNA 1 | TEKTURNA 3 | TEKTURNA H
ALITRETINOIN,PANRETIN,chemical,1UA8E65KDZ,Dermatology,CHRONIC,1,0,0,1999-02-02,,,,,,
ALLOPURINOL,ALLOPURINOL | LOPURIN | ZYLOPRIM,chemical,63CZ7GJN5I,Metabolic,CHRONIC,3,13,27,1984-09-28,,,,,1.5689,
ALLOPURINOL SODIUM,ALLOPURINOL SODIUM | ALOPRIM,chemical,428673RC2Z,Metabolic,CHRONIC,1,2,2,1996-05-17,,,,,,
ALMOTRIPTAN MALATE,ALMOTRIPTAN MALATE,chemical,PJP312605E,Neurology,PERIODIC,0,3,6,2015-07-07,,,,,16.6385,
ALOGLIPTIN BENZOATE,NESINA,chemical,EEN99869SC,Metabolic,CHRONIC,1,0,0,2013-01-25,125441502.30,125.44,519798,24169869,8.1817,ALOGLIPTIN | NESINA | NESINA 12. | NESINA 25 | NESINA 6.2
ALOGLIPTIN BENZOATE; METFORMIN HYDROCHLORIDE,KAZANO,chemical,EEN99869SC | 786Z46389E,Metabolic,CHRONIC,1,0,0,2013-01-25,6717225.72,6.72,11814,997312,6.5794,KAZANO | KAZANO 12.
ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,OSENI,chemical,EEN99869SC | JQT35NPK6C,Metabolic,CHRONIC,1,0,0,2013-01-25,157727.19,0.16,280,12090,,OSENI | OSENI 12.5 | OSENI 25 M | OSENI 25MG
ALOSETRON HYDROCHLORIDE,ALOSETRON HYDROCHLORIDE | LOTRONEX,chemical,2F5R1A46YW,Other/Unclassified,OTHER,1,4,8,2000-02-09,1881686.08,1.88,2910,165688,3.4614,ALOSETRON | LOTRONEX | LOTRONEX ( | LOTRONEX 0 | LOTRONEX 1
ALPELISIB,PIQRAY | VIJOICE,chemical,08W5N2C97Q,Oncology,LONG-TERM,3,0,0,2019-05-24,138694344.82,138.69,5044,185275,,PIQRAY | PIQRAY 200 | PIQRAY 250 | PIQRAY 300 | PIQRAY TAB
ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K,INFUVITE ADULT | MULTIPLE VITAMINS INJECTION ADULT,mixture,9E8X80D2L0 | PQ6CK8PD0R | 6SO6U10H04 | 1C6V77QF41 | P6YC3EG204 | 1O6C93RI7Z | 935E97BOY8 | 25X51I8RD4 | 68Y4CF58BV | 20RD1DZH99 | M572600E5P | 1D1K0N0VVC | A034SE7857,Metabolic,CHRONIC,1,2,2,2000-05-18,,,,,1.1188,
ALPRAZOLAM,ALPRAZOLAM | XANAX | XANAX XR,chemical,YU55MQ3IZY,Psychiatric,PERIODIC,2,12,41,1985-11-27,62521254.55,62.52,6981719,386850602,2.1268,ALPRAZOLAM | XANAX | XANAX .25M | XANAX .5MG | XANAX 0.25
ALPROSTADIL,ALPROSTADIL | CAVERJECT | CAVERJECT IMPULSE | EDEX | PROSTIN VR PEDIATRIC,chemical,F5TD010360,Other/Unclassified,OTHER,4,2,2,1995-07-06,14284.25,0.01,649,218,130.5440,CAVERJECT | EDEX | EDEX 10MCG | EDEX 20 MC | EDEX 20MCG
ALVIMOPAN,ALVIMOPAN,chemical,677C126AET,Other/Unclassified,OTHER,0,3,3,2019-12-19,,,,,,ALVIMOPAN
AMANTADINE HYDROCHLORIDE,AMANTADINE HYDROCHLORIDE | GOCOVRI,chemical,M6Q1EO9TD0,Neurology,CHRONIC,1,22,22,1986-08-05,16782944.59,16.78,375631,38995978,0.2031,AMANTADINE | GOCOVRI | GOCOVRI ER
AMBRISENTAN,AMBRISENTAN | LETAIRIS,chemical,HW6NV07QEC,Cardiovascular,CHRONIC,1,8,15,2007-06-15,75636480.91,75.64,6406,191551,,LETAIRIS | LETAIRIS 1 | LETAIRIS 5
AMCINONIDE,AMCINONIDE,chemical,423W026MA9,Dermatology,CHRONIC,0,4,4,2002-05-31,,,,,,AMCINONIDE
AMIFAMPRIDINE PHOSPHATE,FIRDAPSE,chemical,8HF8FIN815,Metabolic,CHRONIC,1,0,0,2018-11-28,28677676.17,28.68,874,129608,,FIRDAPSE | FIRDAPSE 1
AMIFOSTINE,ETHYOL,chemical,M487QF2F4V,Other/Unclassified,OTHER,1,0,0,1995-12-08,,,,,,
AMIKACIN SULFATE,AMIKACIN SULFATE | ARIKAYCE KIT,chemical,N6M33094FD,Infectious,SHORT,1,7,7,1993-09-28,715495.53,0.72,8831,177889,,AMIKACIN 1 | AMIKACIN 5 | AMIKACIN S
AMILORIDE HYDROCHLORIDE,AMILORIDE HYDROCHLORIDE | MIDAMOR,chemical,FZJ37245UC,Other/Unclassified,OTHER,1,2,2,1986-01-22,874703.73,0.87,50108,3251721,0.2927,AMILORIDE
AMILORIDE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,AMILORIDE HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,chemical,FZJ37245UC | 0J48LPH2TH,Cardiovascular,CHRONIC,0,2,2,1988-05-10,,,,,,
AMINO ACIDS,AMINO ACIDS | AMINOSYN II 10% IN PLASTIC CONTAINER | AMINOSYN II 15% IN PLASTIC CONTAINER | AMINOSYN-PF 10% | AMINOSYN-PF 7% | CLINISOL 15% SULFITE FREE IN PLASTIC CONTAINER | PREMASOL 10% IN PLASTIC CONTAINER | PREMASOL 6% IN PLASTIC CONTAINER | PROSOL 20% SULFITE FREE IN PLASTIC CONTAINER | TRAVASOL 10% IN PLASTIC CONTAINER | TRAVASOL 5.5% IN PLASTIC CONTAINER | TRAVASOL 8.5% IN PLASTIC CONTAINER | TROPHAMINE | TROPHAMINE 10%,mixture,0O72R8RF8A,Other/Unclassified,OTHER,7,3,5,1984-07-20,14777287.08,14.78,28691,85131850,,AMINO ACID | TROPHAMINE
"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE",CLINIMIX E 2.75/10 SULFITE FREE W/ ELECT IN DEXTROSE 10% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 2.75/25 SULFITE FREE W/ ELECT IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 2.75/5 SULFITE FREE W/ ELECT IN DEXTROSE 5% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 4.25/10 SULFITE FREE W/ ELECT IN DEXTROSE 10% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 4.25/20 SULFITE FREE W/ ELECT IN DEXTROSE 20% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 4.25/25 SULFITE FREE W/ ELECT IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 4.25/5 SULFITE FREE W/ ELECT IN DEXTROSE 5% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 5/10 SULFITE FREE W/ ELECT IN DEXTROSE 10% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 5/15 SULFITE FREE W/ ELECT IN DEXTROSE 15% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 5/20 SULFITE FREE W/ ELECT IN 20% DEXTROSE W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 5/25 SULFITE FREE W/ ELECT IN DEXTROSE 25% W/ CALCIUM IN PLASTIC CONTAINER | CLINIMIX E 5/35 SULFITE FREE W/ ELECT IN DEXTROSE 35% W/ CALCIUM IN PLASTIC CONTAINER,mixture,0O72R8RF8A | M4I0D6VV5M | IY9XDZ35W2 | 02F3473H9O | CI71S98N1Z | 4550K0SC9B | 451W47IQ8X,Other,SHORT,1,0,0,1997-03-26,,,,,,
AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM SULFATE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM GLYCEROPHOSPHATE; SOYBEAN OIL,KABIVEN IN PLASTIC CONTAINER | PERIKABIVEN IN PLASTIC CONTAINER,mixture,0O72R8RF8A | M4I0D6VV5M | IY9XDZ35W2 | DE08037SAB | 660YQ98I10 | 4550K0SC9B | RCS9EQ01V4 | 241ATL177A,Other,SHORT,1,0,0,2014-08-25,,,,,,
AMINO ACIDS; DEXTROSE,CLINIMIX 2.75/10 SULFITE FREE IN DEXTROSE 10% IN PLASTIC CONTAINER | CLINIMIX 2.75/25 SULFITE FREE IN DEXTROSE 25% IN PLASTIC CONTAINER | CLINIMIX 2.75/5 SULFITE FREE IN DEXTROSE 5% IN PLASTIC CONTAINER | CLINIMIX 4.25/10 SULFITE FREE IN DEXTROSE 10% IN PLASTIC CONTAINER | CLINIMIX 4.25/20 SULFITE FREE IN DEXTROSE 20% IN PLASTIC CONTAINER | CLINIMIX 4.25/25 SULFITE FREE IN DEXTROSE 25% IN PLASTIC CONTAINER | CLINIMIX 4.25/5 SULFITE FREE IN DEXTROSE 5% IN PLASTIC CONTAINER | CLINIMIX 5/10 SULFITE FREE IN DEXTROSE 10% IN PLASTIC CONTAINER | CLINIMIX 5/15 SULFITE FREE IN DEXTROSE 15% IN PLASTIC CONTAINER | CLINIMIX 5/20 SULFITE FREE IN DEXTROSE 20% IN PLASTIC CONTAINER | CLINIMIX 5/25 SULFITE FREE IN DEXTROSE 25% IN PLASTIC CONTAINER | CLINIMIX 5/35 SULFITE FREE IN DEXTROSE 35% IN PLASTIC CONTAINER | CLINIMIX 8/14 SULFITE FREE IN DEXTROSE 14% IN PLASTIC CONTAINER,mixture,0O72R8RF8A | IY9XDZ35W2,Other,SHORT,1,0,0,1997-09-29,,,,,,
AMINOCAPROIC ACID,AMICAR | AMINOCAPROIC ACID | AMINOCAPROIC ACID IN PLASTIC CONTAINER,chemical,U6F3787206,Autoimmune,SHORT,2,18,22,1987-03-09,875276.57,0.88,376,72127,4.5633,AMICAR | AMICAR 0.2 | AMICAR 100 | AMICAR 500 | AMICAR ORA
AMINOLEVULINIC ACID HYDROCHLORIDE,AMELUZ | GLEOLAN | LEVULAN,chemical,V35KBM8JGR,Other/Unclassified,OTHER,3,0,0,1999-12-03,1702048.87,1.70,5500,11661,,AMELUZ | AMELUZ 10% | LEVULAN | LEVULAN KE
AMINOPHYLLINE,AMINOPHYLLINE,chemical,27Y3KJK423,Respiratory,CHRONIC,0,1,1,1983-10-26,,,,,,
AMINOSALICYLIC ACID,PASER,chemical,5B2658E0N2,Other/Unclassified,OTHER,0,1,1,1994-06-30,,,,,,
AMIODARONE HYDROCHLORIDE,AMIODARONE HYDROCHLORIDE | NEXTERONE | PACERONE,chemical,976728SY6Z,Cardiovascular,CHRONIC,1,16,27,1998-04-30,10226698.61,10.23,454717,21197383,0.6521,AMIODARONE | NEXTERONE | PACERONE | PACERONE 1 | PACERONE 2
AMISULPRIDE,BARHEMSYS,chemical,8110R61I4U,Other/Unclassified,OTHER,1,0,0,2020-02-26,178811.57,0.18,196,690,,BARHEMSYS
AMITRIPTYLINE HYDROCHLORIDE,AMITRIPTYLINE HYDROCHLORIDE,chemical,26LUD4JO9K,Psychiatric,CHRONIC,0,11,66,1987-07-14,,,,,0.1004,
AMITRIPTYLINE HYDROCHLORIDE; CHLORDIAZEPOXIDE,CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE,chemical,26LUD4JO9K | 6RZ6XEZ3CR,Psychiatric,CHRONIC,0,1,2,1986-12-10,,,,,,
AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE,PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE,chemical,26LUD4JO9K | FTA7XXY4EZ,Psychiatric,CHRONIC,0,1,5,1988-11-10,,,,,,
AMLODIPINE BENZOATE,KATERZIA,chemical,XD75TQ8A2P,Cardiovascular,CHRONIC,1,0,0,2019-07-08,197263861.12,197.26,19587726,964461011,3.7475,AMLODIPINE | KATERZIA | KATERZIA ( | KATERZIA 1
AMLODIPINE BESYLATE,AMLODIPINE BESYLATE | NORLIQVA | NORVASC | SDAMLO,chemical,864V2Q084H,Cardiovascular,CHRONIC,3,20,60,1992-07-31,1636311.95,1.64,5308,357697,4.4133,NORLIQVA | NORLIQVA 1 | NORVASC | NORVASC  A | NORVASC (A
AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM,AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM | CADUET,chemical,864V2Q084H | 48A5M73Z4Q,Cardiovascular,CHRONIC,1,5,49,2004-01-30,,,,,,CADUET | CADUET 10/ | CADUET 10M
AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,chemical,864V2Q084H | N1SN99T69T,Cardiovascular,CHRONIC,0,7,30,2010-02-05,,,,,,
