Drug,Brand,Disease / Indication,Category,Target,Revenue ($B),Dose,Frequency,Duration,_ing,_rev_val
Alpha-tocopherol Acetate; Ascorbic Acid; Biotin; Cholecalciferol; Cyanocobalamin; Dexpanthenol; Folic Acid; Niacinamide; Pyridoxine Hydrochloride; Riboflavin 5'-phosphate Sodium; Thiamine Hydrochloride; Vitamin a Palmitate; Vitamin k,INFUVITE ADULT,Metabolic disorder,Metabolic,VDR,,2 IU/mL; 40MG/mL … IV,As directed,Indefinite (lifelong maintenance),ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K,0.0
Amantadine Hydrochloride,AMANTADINE HYDROCHLORIDE,Neurological disorder,Neurology,GRIN1 | M,0.02,137MG BASE oral,Once daily,Indefinite (lifelong maintenance),AMANTADINE HYDROCHLORIDE,16.78
Ambrisentan,AMBRISENTAN,Cardiovascular disease,Cardiovascular,EDNRB,0.08,10MG oral,Once or twice daily,Indefinite (lifelong maintenance),AMBRISENTAN,75.64
Amcinonide,AMCINONIDE,Skin disorder,Dermatology,NR3C1,,0.1% topical,Once or twice daily,Indefinite (lifelong maintenance),AMCINONIDE,0.0
Amifampridine Phosphate,FIRDAPSE,Metabolic disorder,Metabolic,KCNQ1,0.03,10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),AMIFAMPRIDINE PHOSPHATE,28.68
Amiloride Hydrochloride; Hydrochlorothiazide,AMILORIDE HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,Cardiovascular disease,Cardiovascular,SCNN1A | SLC12A3,,5MG ANHYDROUS; 50MG oral,Once or twice daily,Indefinite (lifelong maintenance),AMILORIDE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,0.0
Aminophylline,AMINOPHYLLINE,Psoriasis; Psoriatic arthritis,Respiratory,PDE4A | PDE3A | ADORA1,,25MG/mL,As directed,Indefinite (lifelong maintenance),AMINOPHYLLINE,0.0
Amiodarone Hydrochloride,AMIODARONE HYDROCHLORIDE,Cardiovascular disease,Cardiovascular,KCNH2,0.01,360MG/200ML (1.8MG/mL),As directed,Indefinite (lifelong maintenance),AMIODARONE HYDROCHLORIDE,10.23
Amitriptyline Hydrochloride,AMITRIPTYLINE HYDROCHLORIDE,Psychiatric disorder,Psychiatric,SLC6A4 | SLC6A2,,150MG oral,Once or twice daily,Indefinite (lifelong maintenance),AMITRIPTYLINE HYDROCHLORIDE,0.0
Amitriptyline Hydrochloride; Chlordiazepoxide,CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE,Anxiety; Insomnia; Epilepsy,Psychiatric,SLC6A4 | SLC6A2 | GABRA1,,12.5MG BASE; 5MG oral,Once or twice daily,Indefinite (lifelong maintenance),AMITRIPTYLINE HYDROCHLORIDE; CHLORDIAZEPOXIDE,0.0
Amitriptyline Hydrochloride; Perphenazine,PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,SLC6A4 | SLC6A2 | DRD2,,10MG; 2MG oral,Once or twice daily,Indefinite (lifelong maintenance),AMITRIPTYLINE HYDROCHLORIDE; PERPHENAZINE,0.0
Amlodipine Benzoate,KATERZIA,Hypertension; Angina,Cardiovascular,CACNA1C,0.20,1MG BASE/mL oral,Once or twice daily,Indefinite (lifelong maintenance),AMLODIPINE BENZOATE,197.26
Amlodipine Besylate,AMLODIPINE BESYLATE,Hypertension; Angina,Cardiovascular,CACNA1C,0.00,10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),AMLODIPINE BESYLATE,1.64
Amlodipine Besylate; Atorvastatin Calcium,CADUET,Hypertension; Angina,Cardiovascular,CACNA1C | HMGCR,,10MG BASE; 80MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM,0.0
Amlodipine Besylate; Benazepril Hydrochloride,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,Hypertension; Heart failure; CKD,Cardiovascular,CACNA1C | ACE,,2.5MG BASE; 10MG oral,Once or twice daily,Indefinite (lifelong maintenance),AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,0.0
Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil,TRIBENZOR,Hypertension; Angina,Cardiovascular,CACNA1C | SLC12A3 | AGTR1,,10MG BASE; 25MG … oral,Once or twice daily,Indefinite (lifelong maintenance),AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL,0.0
Amlodipine Besylate; Hydrochlorothiazide; Valsartan,EXFORGE HCT,Hypertension; Angina,Cardiovascular,CACNA1C | SLC12A3 | AGTR1,,10MG BASE; 25MG … oral,Once or twice daily,Indefinite (lifelong maintenance),AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE; VALSARTAN,0.0
Amlodipine Besylate; Indapamide; Telmisartan,WIDAPLIK,Hypertension; Angina,Cardiovascular,CACNA1C | SLC12A3 | AGTR1,,5MG BASE; 2.5MG … oral,Once or twice daily,Indefinite (lifelong maintenance),AMLODIPINE BESYLATE; INDAPAMIDE; TELMISARTAN,0.0
Amlodipine Besylate; Olmesartan Medoxomil,AZOR,Hypertension; Angina,Cardiovascular,CACNA1C | AGTR1,,10MG BASE; 40MG oral,Once or twice daily,Indefinite (lifelong maintenance),AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL,0.0
Amlodipine Besylate; Telmisartan,TELMISARTAN AND AMLODIPINE,Hypertension; Angina,Cardiovascular,CACNA1C | AGTR1,,5MG BASE; 40MG oral,Once or twice daily,Indefinite (lifelong maintenance),AMLODIPINE BESYLATE; TELMISARTAN,0.0
Amlodipine Besylate; Valsartan,EXFORGE,Hypertension; Angina,Cardiovascular,CACNA1C | AGTR1,0.00,10MG BASE; 320MG oral,Once or twice daily,Indefinite (lifelong maintenance),AMLODIPINE BESYLATE; VALSARTAN,0.18
Amoxapine,AMOXAPINE,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,SLC6A4 | SLC6A2 | DRD2,0.00,25MG oral,Once or twice daily,Indefinite (lifelong maintenance),AMOXAPINE,0.03
Amphetamine,ADZENYS XR-ODT,ADHD; Narcolepsy,Psychiatric,SLC6A3 | SLC6A2,,18.8MG BASE oral,Once daily,Indefinite (lifelong maintenance),AMPHETAMINE,0.0
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate,ADDERALL XR 10,ADHD; Narcolepsy,Psychiatric,SLC6A3 | SLC6A2 | SLC18A2,0.03,12.5MG; 12.5MG … oral,Once daily,Indefinite (lifelong maintenance),AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,29.31
Amphetamine Sulfate,AMPHETAMINE SULFATE,ADHD; Narcolepsy,Psychiatric,SLC6A3 | SLC6A2,0.00,5MG oral,Once or twice daily,Indefinite (lifelong maintenance),AMPHETAMINE SULFATE,0.34
Amphetamine; Amphetamine Aspartate/dextroamphetamine Sulfate,DYANAVEL XR,ADHD; Narcolepsy,Psychiatric,SLC6A3 | SLC6A2,,4MG; 1MG BASE oral,Once daily,Indefinite (lifelong maintenance),AMPHETAMINE; AMPHETAMINE ASPARTATE/DEXTROAMPHETAMINE SULFATE,0.0
Anastrozole,ANASTROZOLE,"Breast cancer (HR+, post-menopausal)",Oncology,CYP19A1,0.00,1MG oral,Once or twice daily,Long-term (until progression / disease control),ANASTROZOLE,0.49
Apalutamide,APALUTAMIDE,Prostate cancer (mCRPC),Oncology,AR,0.09,240MG oral,Once or twice daily,Long-term (until progression / disease control),APALUTAMIDE,86.69
Apixaban,APIXABAN,Atrial fibrillation; DVT/PE prevention,Cardiovascular,F10,2.30,5MG oral,Once or twice daily,Indefinite (lifelong maintenance),APIXABAN,2301.11
Apomorphine Hydrochloride,APOKYN,Chronic pain,Pain,DRD2,0.00,98MG/20ML (4.9MG/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance),APOMORPHINE HYDROCHLORIDE,0.69
Apraclonidine Hydrochloride,APRACLONIDINE HYDROCHLORIDE,Cardiovascular disease,Cardiovascular,ADRA2A,0.00,1% BASE ophthalmic,Once daily,Indefinite (lifelong maintenance),APRACLONIDINE HYDROCHLORIDE,0.06
Apremilast,APREMILAST,Psoriatic arthritis; Psoriasis,Autoimmune,PDE4A,0.64,30MG oral,Once or twice daily,Indefinite (lifelong maintenance),APREMILAST,640.89
Arformoterol Tartrate,ARFORMOTEROL TARTRATE,Asthma; COPD,Respiratory,ADRB2,,0.015MG BASE/2ML inh,As directed,Indefinite (lifelong maintenance),ARFORMOTEROL TARTRATE,0.0
Aripiprazole,ABILIFY,Generalized anxiety disorder,Psychiatric,DRD2 | HTR1A | HTR2A,1.60,30MG oral,Once or twice daily,Indefinite (lifelong maintenance),ARIPIPRAZOLE,1601.25
Aripiprazole Lauroxil,ARISTADA,Generalized anxiety disorder,Psychiatric,DRD2 | HTR2A | HTR1A,0.63,675MG/2.4ML (281.25MG/mL),Once daily,Indefinite (lifelong maintenance),ARIPIPRAZOLE LAUROXIL,634.23
Armodafinil,ARMODAFINIL,ADHD; Narcolepsy,Psychiatric,SLC6A3,0.01,250MG oral,Once or twice daily,Indefinite (lifelong maintenance),ARMODAFINIL,5.83
Arsenic Trioxide,ARSENIC TRIOXIDE,Cancer,Oncology,TXNRD1,0.00,2MG/mL,As directed,Long-term (until progression / disease control),ARSENIC TRIOXIDE,3.1
Asciminib Hydrochloride,SCEMBLIX,Chronic myeloid leukaemia (CML),Oncology,ABL1,0.09,100MG BASE oral,Once or twice daily,Long-term (until progression / disease control),ASCIMINIB HYDROCHLORIDE,85.06
Ascorbic Acid; Biotin; Cholecalciferol; Cyanocobalamin; Dexpanthenol; Folic Acid; Niacinamide; Pyridoxine; Riboflavin; Thiamine; Tocopherol Acetate; Vitamin a; Vitamin k,INFUVITE PEDIATRIC,Metabolic disorder,Metabolic,VDR,,80MG/VIAL; 0.02MG/VIAL … IV,As directed,Indefinite (lifelong maintenance),ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE; RIBOFLAVIN; THIAMINE; TOCOPHEROL ACETATE; VITAMIN A; VITAMIN K,0.0
Asenapine,SECUADO,Psychiatric disorder,Psychiatric,Unknown,0.02,7.6MG/24HR transdermal,Once weekly,Indefinite (lifelong maintenance),ASENAPINE,19.75
Asenapine Maleate,ASENAPINE MALEATE,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,DRD2 | HTR2A,0.04,10MG BASE,As needed,Indefinite (lifelong maintenance),ASENAPINE MALEATE,37.53
Aspirin,VAZALORE,Cardiovascular disease,Cardiovascular,PTGS2,0.09,325MG oral,Once or twice daily,Indefinite (lifelong maintenance),ASPIRIN,93.03
Aspirin; Butalbital; Caffeine,LANORINAL,Anxiety; Insomnia; Epilepsy,Cardiovascular,PTGS2 | GABRA1 | ADORA1,,325MG; 50MG … oral,Once or twice daily,Indefinite (lifelong maintenance),ASPIRIN; BUTALBITAL; CAFFEINE,0.0
Aspirin; Butalbital; Caffeine; Codeine Phosphate,"BUTALBITAL, ASPIRIN, CAFFEINE, AND CODEINE PHOSPHATE",Anxiety; Insomnia; Epilepsy,Cardiovascular,PTGS2 | GABRA1 | ADORA1 | OPRK1,,325MG; 50MG … oral,Once or twice daily,Indefinite (lifelong maintenance),ASPIRIN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE,0.0
Aspirin; Caffeine; Orphenadrine Citrate,ORPHENGESIC,Allergic rhinitis; Urticaria,Cardiovascular,PTGS2 | ADORA1 | HRH1 | SLC6A2 | GRIN1 | SCN1A,,385MG; 30MG … oral,Once or twice daily,Indefinite (lifelong maintenance),ASPIRIN; CAFFEINE; ORPHENADRINE CITRATE,0.0
Aspirin; Dipyridamole,ASPIRIN AND DIPYRIDAMOLE,Cardiovascular disease,Cardiovascular,PTGS2 | SLC29A1 | PDE5A,,25MG; 200MG oral,Once daily,Indefinite (lifelong maintenance),ASPIRIN; DIPYRIDAMOLE,0.0
Aspirin; Hydrocodone Bitartrate,HYDROCODONE BITARTRATE AND ASPIRIN,Chronic pain; Cancer pain,Cardiovascular,PTGS2 | OPRK1,,500MG; 5MG oral,Once or twice daily,Indefinite (lifelong maintenance),ASPIRIN; HYDROCODONE BITARTRATE,0.0
Atazanavir Sulfate,ATAZANAVIR SULFATE,Infectious disease,Infectious,pol,0.00,50MG BASE/PACKET oral,Once daily,Indefinite (lifelong maintenance),ATAZANAVIR SULFATE,2.3
Atazanavir Sulfate; Cobicistat,EVOTAZ,Infectious disease,Infectious,pol | CYP3A4,0.01,300MG BASE; 150MG oral,Once or twice daily,Indefinite (lifelong maintenance),ATAZANAVIR SULFATE; COBICISTAT,10.43
Atenolol,ATENOLOL,Cardiovascular disease,Cardiovascular,ADRB1,0.02,100MG oral,Once or twice daily,Indefinite (lifelong maintenance),ATENOLOL,20.75
Atenolol; Chlorthalidone,ATENOLOL AND CHLORTHALIDONE,Cardiovascular disease,Cardiovascular,ADRB1 | SLC12A3,,50MG; 25MG oral,Once or twice daily,Indefinite (lifelong maintenance),ATENOLOL; CHLORTHALIDONE,0.0
Atomoxetine Hydrochloride,ATOMOXETINE HYDROCHLORIDE,ADHD,Psychiatric,SLC6A2,,4MG BASE/mL oral,Once or twice daily,Indefinite (lifelong maintenance),ATOMOXETINE HYDROCHLORIDE,0.0
Atorvastatin Calcium,ATORVALIQ,Dyslipidemia; CV risk reduction,Metabolic,HMGCR,0.00,80MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),ATORVASTATIN CALCIUM,1.15
Atorvastatin Calcium; Ezetimibe,LYPQOZET,Dyslipidemia; CV risk reduction,Metabolic,HMGCR | NPC1L1,,10MG BASE; 10MG oral,Once or twice daily,Indefinite (lifelong maintenance),ATORVASTATIN CALCIUM; EZETIMIBE,0.0
Avapritinib,AYVAKIT,Cancer,Oncology,KIT | PDGFRA,0.01,300MG oral,Once or twice daily,Long-term (until progression / disease control),AVAPRITINIB,10.46
Avutometinib Potassium; Defactinib Hydrochloride,AVMAPKI FAKZYNJA CO-PACK (COPACKAGED),Cancer,Oncology,MAP2K1 | MAP2K2 | PTK2 | PTK2B,,0.8MG BASE; 200MG BASE oral,Once or twice daily,Long-term (until progression / disease control),AVUTOMETINIB POTASSIUM; DEFACTINIB HYDROCHLORIDE,0.0
Axitinib,INLYTA,Cancer,Oncology,FLT1,0.09,5MG oral,Once or twice daily,Long-term (until progression / disease control),AXITINIB,92.84
Azacitidine,AZACITIDINE,MDS; AML,GI,DNMT3A | DNMT1,0.02,300MG oral,Once or twice daily,Indefinite (lifelong maintenance),AZACITIDINE,18.18
Azathioprine,AZASAN,Transplant rejection; Autoimmune,Autoimmune,PPAT,0.00,50MG oral,Once or twice daily,Indefinite (lifelong maintenance),AZATHIOPRINE,0.07
Azathioprine Sodium,AZATHIOPRINE SODIUM,Transplant rejection; Autoimmune,Autoimmune,PPAT,,100MG BASE/VIAL,As directed,Indefinite (lifelong maintenance),AZATHIOPRINE SODIUM,0.0
Azilsartan Kamedoxomil,AZILSARTAN MEDOXOMIL,Cardiovascular disease,Cardiovascular,AGTR1,0.00,80MG MEDOXOMIL oral,Once or twice daily,Indefinite (lifelong maintenance),AZILSARTAN KAMEDOXOMIL,3.26
Azilsartan Kamedoxomil; Chlorthalidone,EDARBYCLOR,Cardiovascular disease,Cardiovascular,AGTR1 | SLC12A3,0.00,40MG MEDOXOMIL; 25MG oral,Once or twice daily,Indefinite (lifelong maintenance),AZILSARTAN KAMEDOXOMIL; CHLORTHALIDONE,3.42
Bacitracin Zinc; Hydrocortisone; Neomycin Sulfate; Polymyxin b Sulfate,"NEOMYCIN AND POLYMYXIN B SULFATES, BACITRACIN ZINC AND HYDROCORTISONE",Metabolic disorder,Metabolic,NR3C1 | rpsB,0.01,400 UNITS/GM; 1% … ophthalmic,Once or twice daily,Indefinite (lifelong maintenance),BACITRACIN ZINC; HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,10.68
Bacitracin Zinc; Neomycin Sulfate; Polymyxin b Sulfate,LUMI-SPORYN,Metabolic disorder,Metabolic,rpsB,,400 UNITS/GM; 3.5MG BASE/GM … ophthalmic,Once or twice daily,Indefinite (lifelong maintenance),BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,0.0
Bacitracin Zinc; Polymyxin b Sulfate,BACITRACIN ZINC AND POLYMYXIN B SULFATE,Metabolic disorder,Metabolic,C55-isoprenyl pyrophosphate inhibitor; Cell outer ,,"500 UNITS/GM; 10,000 UNITS/GM ophthalmic",Once or twice daily,Indefinite (lifelong maintenance),BACITRACIN ZINC; POLYMYXIN B SULFATE,0.0
Baclofen,BACLOFEN,Spasticity; Trigeminal neuralgia,Neurology,GABBR1,0.15,25MG/5ML oral,Once or twice daily,Indefinite (lifelong maintenance),BACLOFEN,151.56
Balsalazide Disodium,BALSALAZIDE DISODIUM,GI disorder,GI,ALOX5 | PPARG | PTGS2,,750MG oral,Once or twice daily,Indefinite (lifelong maintenance),BALSALAZIDE DISODIUM,0.0
Baricitinib,OLUMIANT,Autoimmune disease,Autoimmune,JAK1 | JAK2,0.05,4MG oral,Once or twice daily,Indefinite (lifelong maintenance),BARICITINIB,50.19
"Bazedoxifene Acetate; Estrogens, Conjugated",DUAVEE,Metabolic disorder,Metabolic,ESR2,0.00,20MG BASE; 0.45MG oral,Once or twice daily,Indefinite (lifelong maintenance),"BAZEDOXIFENE ACETATE; ESTROGENS, CONJUGATED",0.08
Beclomethasone Dipropionate,BECLOMETHASONE DIPROPIONATE,Respiratory disease,Respiratory,NR3C1,0.01,0.08MG/ACTUATION nasal,As directed,Indefinite (lifelong maintenance),BECLOMETHASONE DIPROPIONATE,6.71
Beclomethasone Dipropionate; Formoterol Fumarate; Glycopyrrolate,TRIMBOW,Asthma; COPD,Respiratory,NR3C1 | ADRB2 | CHRM3 | CHRM1,,0.172MG//inh; 0.0049MG//inh … inh,Twice daily,Indefinite (lifelong maintenance),BECLOMETHASONE DIPROPIONATE; FORMOTEROL FUMARATE; GLYCOPYRROLATE,0.0
Belinostat,BELEODAQ,Haematological malignancies,Oncology,HDAC1,0.00,500MG/VIAL IV,Once daily,Long-term (until progression / disease control),BELINOSTAT,3.56
Bempedoic Acid; Ezetimibe,NEXLIZET,Hypercholesterolemia,Metabolic,ACLY | NPC1L1,0.01,180MG; 10MG oral,Once or twice daily,Indefinite (lifelong maintenance),BEMPEDOIC ACID; EZETIMIBE,7.99
Benazepril Hydrochloride,BENAZEPRIL HYDROCHLORIDE,Hypertension; Heart failure; CKD,Cardiovascular,ACE,0.01,40MG oral,Once or twice daily,Indefinite (lifelong maintenance),BENAZEPRIL HYDROCHLORIDE,9.68
Benazepril Hydrochloride; Hydrochlorothiazide,LOTENSIN HCT,Hypertension; Heart failure; CKD,Cardiovascular,ACE | SLC12A3,,20MG; 25MG oral,Once or twice daily,Indefinite (lifelong maintenance),BENAZEPRIL HYDROCHLORIDE; HYDROCHLOROTHIAZIDE,0.0
