Drug,Brand,Disease / Indication,Category,Drug Modality,Target,Revenue ($B),Dose,Frequency,Duration
Amlodipine Besylate; Atorvastatin Calcium,CADUET,Hypertension,Endocrinology – Lipid,chemical,CACNA1C | HMGCR,,10MG BASE; 80MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Amlodipine Besylate; Benazepril Hydrochloride,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,Hypertension,Cardiovascular – Hypertension,chemical,CACNA1C | ACE,,2.5MG BASE; 10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil,TRIBENZOR,Hypertension,Cardiovascular – Hypertension,chemical,CACNA1C | SLC12A3 | AGTR1,,10MG BASE; 25MG … oral,Once or twice daily,Indefinite (lifelong maintenance)
Amlodipine Besylate; Hydrochlorothiazide; Valsartan,EXFORGE HCT,Hypertension,Cardiovascular – Hypertension,chemical,CACNA1C | SLC12A3 | AGTR1,,10MG BASE; 25MG … oral,Once or twice daily,Indefinite (lifelong maintenance)
Amlodipine Besylate; Indapamide; Telmisartan,WIDAPLIK,Hypertension,Cardiovascular – Hypertension,chemical,CACNA1C | SLC12A3 | AGTR1,,5MG BASE; 2.5MG … oral,Once or twice daily,Indefinite (lifelong maintenance)
Amlodipine Besylate; Olmesartan Medoxomil,AZOR,Hypertension,Cardiovascular – Hypertension,chemical,CACNA1C | AGTR1,,10MG BASE; 40MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Amlodipine Besylate; Telmisartan,TELMISARTAN AND AMLODIPINE,Hypertension,Cardiovascular – Hypertension,chemical,CACNA1C | AGTR1,,5MG BASE; 40MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Amlodipine Besylate; Valsartan,EXFORGE,Hypertension,Cardiovascular – Hypertension,chemical,CACNA1C | AGTR1,0.00,10MG BASE; 320MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Amoxapine,AMOXAPINE,Major depressive disorder; Anxiety disorder,Psychiatry – Mood,chemical,SLC6A4 | SLC6A2 | DRD2,0.00,25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Amphetamine,ADZENYS XR-ODT,ADHD; Narcolepsy / EDS,Psychiatry – ADHD / Wakefulness,chemical,SLC6A3 | SLC6A2,,18.8MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate,ADDERALL XR 10,ADHD; Narcolepsy / EDS,Psychiatry – ADHD / Wakefulness,chemical,SLC6A3 | SLC6A2 | SLC18A2,0.03,12.5MG; 12.5MG … oral,Once daily,Indefinite (lifelong maintenance)
Amphetamine Sulfate,AMPHETAMINE SULFATE,ADHD; Narcolepsy / EDS,Psychiatry – ADHD / Wakefulness,chemical,SLC6A3 | SLC6A2,0.00,5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Amphetamine; Amphetamine Aspartate/dextroamphetamine Sulfate,DYANAVEL XR,ADHD,Psychiatry – ADHD / Wakefulness,chemical,SLC6A3 | SLC6A2,,4MG; 1MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Anastrozole,ANASTROZOLE,Breast cancer; Menopausal / hormone therapy,Oncology – Solid Tumor,chemical,CYP19A1,0.00,1MG oral,Once or twice daily,Long-term (until progression / disease control)
Apalutamide,APALUTAMIDE,Prostate cancer,Oncology – Solid Tumor,chemical,AR,0.09,240MG oral,Once or twice daily,Long-term (until progression / disease control)
Apixaban,APIXABAN,Atrial fibrillation; Stroke (risk reduction); DVT / venous thrombosis; Pulmonary embolism,Cardiovascular – Arrhythmia,chemical,F10,2.30,5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Apomorphine Hydrochloride,APOKYN,Chronic pain,Pain – Chronic,chemical,DRD2,0.00,98MG/20ML (4.9MG/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance)
Apraclonidine Hydrochloride,APRACLONIDINE HYDROCHLORIDE,Cardiovascular disease,Cardiovascular – Other,chemical,ADRA2A,0.00,1% BASE ophthalmic,Once daily,Indefinite (lifelong maintenance)
Apremilast,APREMILAST,Psoriatic arthritis; Psoriasis,Autoimmune – Rheumatology,chemical,PDE4A,0.64,30MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Arformoterol Tartrate,ARFORMOTEROL TARTRATE,COPD; Bronchospasm,Respiratory – Obstructive,chemical,ADRB2,,0.015MG BASE/2ML inh,As directed,Indefinite (lifelong maintenance)
Aripiprazole,ABILIFY,Schizophrenia,Psychiatry – Psychotic,chemical,DRD2 | HTR1A | HTR2A,1.60,30MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Aripiprazole Lauroxil,ARISTADA,Schizophrenia,Psychiatry – Psychotic,chemical,DRD2 | HTR2A | HTR1A,0.63,675MG/2.4ML (281.25MG/mL),Once daily,Indefinite (lifelong maintenance)
Armodafinil,ARMODAFINIL,Narcolepsy / EDS,Psychiatry – ADHD / Wakefulness,chemical,SLC6A3,0.01,250MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Arsenic Trioxide,ARSENIC TRIOXIDE,Cancer,Oncology – Solid Tumor,chemical,TXNRD1,0.00,2MG/mL,As directed,Long-term (until progression / disease control)
Asciminib Hydrochloride,SCEMBLIX,Chronic myeloid leukemia,Oncology – Hematologic,chemical,ABL1,0.09,100MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Ascorbic Acid; Biotin; Cholecalciferol; Cyanocobalamin; Dexpanthenol; Folic Acid; Niacinamide; Pyridoxine; Riboflavin; Thiamine; Tocopherol Acetate; Vitamin a; Vitamin k,INFUVITE PEDIATRIC,Metabolic disorder,Endocrinology – Lipid,mixture,VDR,,80MG/VIAL; 0.02MG/VIAL … IV,As directed,Indefinite (lifelong maintenance)
Asenapine,SECUADO,Bipolar disorder,Psychiatry – Mood,chemical,Unknown,0.02,7.6MG/24HR transdermal,Once weekly,Indefinite (lifelong maintenance)
Asenapine Maleate,ASENAPINE MALEATE,Bipolar disorder,Psychiatry – Mood,chemical,DRD2 | HTR2A,0.04,10MG BASE,As needed,Indefinite (lifelong maintenance)
Aspirin,VAZALORE,Cardiovascular disease,Cardiovascular – Other,chemical,PTGS2,0.09,325MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Aspirin; Butalbital; Caffeine,LANORINAL,Anxiety; Insomnia; Epilepsy,Cardiovascular – Other,chemical,PTGS2 | GABRA1 | ADORA1,,325MG; 50MG … oral,Once or twice daily,Indefinite (lifelong maintenance)
Aspirin; Butalbital; Caffeine; Codeine Phosphate,"BUTALBITAL, ASPIRIN, CAFFEINE, AND CODEINE PHOSPHATE",Anxiety; Insomnia; Epilepsy,Cardiovascular – Other,chemical,PTGS2 | GABRA1 | ADORA1 | OPRK1,,325MG; 50MG … oral,Once or twice daily,Indefinite (lifelong maintenance)
Aspirin; Caffeine; Orphenadrine Citrate,ORPHENGESIC,Allergic rhinitis; Urticaria,Cardiovascular – Other,chemical,PTGS2 | ADORA1 | HRH1 | SLC6A2 | GRIN1 | SCN1A,,385MG; 30MG … oral,Once or twice daily,Indefinite (lifelong maintenance)
Aspirin; Dipyridamole,ASPIRIN AND DIPYRIDAMOLE,Stroke (risk reduction),Cardiovascular – Thrombosis,chemical,PTGS2 | SLC29A1 | PDE5A,,25MG; 200MG oral,Once daily,Indefinite (lifelong maintenance)
Aspirin; Hydrocodone Bitartrate,HYDROCODONE BITARTRATE AND ASPIRIN,Chronic pain; Cancer pain,Cardiovascular – Other,chemical,PTGS2 | OPRK1,,500MG; 5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Atazanavir Sulfate,ATAZANAVIR SULFATE,HIV infection,Infectious – HIV,chemical,pol,0.00,50MG BASE/PACKET oral,Once daily,Indefinite (lifelong maintenance)
Atazanavir Sulfate; Cobicistat,EVOTAZ,HIV infection,Infectious – HIV,chemical,pol | CYP3A4,0.01,300MG BASE; 150MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Atenolol,ATENOLOL,Hypertension; Myocardial infarction (risk reduction),Cardiovascular – Ischemic,chemical,ADRB1,0.02,100MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Atenolol; Chlorthalidone,ATENOLOL AND CHLORTHALIDONE,Hypertension; Myocardial infarction (risk reduction),Cardiovascular – Ischemic,chemical,ADRB1 | SLC12A3,,50MG; 25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Atomoxetine Hydrochloride,ATOMOXETINE HYDROCHLORIDE,ADHD,Psychiatry – ADHD / Wakefulness,chemical,SLC6A2,,4MG BASE/mL oral,Once or twice daily,Indefinite (lifelong maintenance)
Atorvastatin Calcium,ATORVALIQ,Type 2 diabetes; Diabetes mellitus; Angina; Myocardial infarction (risk reduction); Stroke (risk reduction); Coronary artery disease,Endocrinology – Lipid,chemical,HMGCR,0.00,80MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Atorvastatin Calcium; Ezetimibe,LYPQOZET,Type 2 diabetes; Diabetes mellitus; Angina; Myocardial infarction (risk reduction); Stroke (risk reduction); Coronary artery disease,Endocrinology – Lipid,chemical,HMGCR | NPC1L1,,10MG BASE; 10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Avapritinib,AYVAKIT,Cancer,Oncology – Solid Tumor,chemical,KIT | PDGFRA,0.01,300MG oral,Once or twice daily,Long-term (until progression / disease control)
Avutometinib Potassium; Defactinib Hydrochloride,AVMAPKI FAKZYNJA CO-PACK (COPACKAGED),Ovarian cancer,Oncology – Solid Tumor,chemical,MAP2K1 | MAP2K2 | PTK2 | PTK2B,,0.8MG BASE; 200MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Axitinib,INLYTA,Renal cell carcinoma,Oncology – Solid Tumor,chemical,FLT1,0.09,5MG oral,Once or twice daily,Long-term (until progression / disease control)
Azacitidine,AZACITIDINE,Myelodysplastic syndromes; Anemia,Gastroenterology – Other,chemical,DNMT3A | DNMT1,0.02,300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Azathioprine,AZASAN,Rheumatoid arthritis,Autoimmune – Rheumatology,chemical,PPAT,0.00,50MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Azathioprine Sodium,AZATHIOPRINE SODIUM,Rheumatoid arthritis,Autoimmune – Rheumatology,chemical,PPAT,,100MG BASE/VIAL,As directed,Indefinite (lifelong maintenance)
Azilsartan Kamedoxomil,AZILSARTAN MEDOXOMIL,Hypertension,Cardiovascular – Hypertension,chemical,AGTR1,0.00,80MG MEDOXOMIL oral,Once or twice daily,Indefinite (lifelong maintenance)
Azilsartan Kamedoxomil; Chlorthalidone,EDARBYCLOR,Hypertension,Cardiovascular – Hypertension,chemical,AGTR1 | SLC12A3,0.00,40MG MEDOXOMIL; 25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Bacitracin Zinc; Hydrocortisone; Neomycin Sulfate; Polymyxin b Sulfate,"NEOMYCIN AND POLYMYXIN B SULFATES, BACITRACIN ZINC AND HYDROCORTISONE",Metabolic disorder,Endocrinology – Metabolic,mixture,NR3C1 | rpsB,0.01,400 UNITS/GM; 1% … ophthalmic,Once or twice daily,Indefinite (lifelong maintenance)
Bacitracin Zinc; Neomycin Sulfate; Polymyxin b Sulfate,LUMI-SPORYN,Metabolic disorder,Endocrinology – Metabolic,mixture,rpsB,,400 UNITS/GM; 3.5MG BASE/GM … ophthalmic,Once or twice daily,Indefinite (lifelong maintenance)
Bacitracin Zinc; Polymyxin b Sulfate,BACITRACIN ZINC AND POLYMYXIN B SULFATE,Metabolic disorder,Endocrinology – Metabolic,mixture,C55-isoprenyl pyrophosphate inhibitor; Cell outer ,,"500 UNITS/GM; 10,000 UNITS/GM ophthalmic",Once or twice daily,Indefinite (lifelong maintenance)
Baclofen,BACLOFEN,Stroke (risk reduction); Parkinson's disease,Neurology – Movement Disorder,chemical,GABBR1,0.15,25MG/5ML oral,Once or twice daily,Indefinite (lifelong maintenance)
Balsalazide Disodium,BALSALAZIDE DISODIUM,Ulcerative colitis,Autoimmune – Gastroenterology,chemical,ALOX5 | PPARG | PTGS2,,750MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Baricitinib,OLUMIANT,Rheumatoid arthritis,Autoimmune – Rheumatology,chemical,JAK1 | JAK2,0.05,4MG oral,Once or twice daily,Indefinite (lifelong maintenance)
"Bazedoxifene Acetate; Estrogens, Conjugated",DUAVEE,Osteoporosis; Menopausal / hormone therapy,Bone / Metabolic,mixture,ESR2,0.00,20MG BASE; 0.45MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Beclomethasone Dipropionate,BECLOMETHASONE DIPROPIONATE,Asthma; Bronchospasm,Respiratory – Obstructive,chemical,NR3C1,0.01,0.08MG/ACTUATION nasal,As directed,Indefinite (lifelong maintenance)
Beclomethasone Dipropionate; Formoterol Fumarate; Glycopyrrolate,TRIMBOW,Asthma; Bronchospasm,Respiratory – Obstructive,chemical,NR3C1 | ADRB2 | CHRM3 | CHRM1,,0.172MG//inh; 0.0049MG//inh … inh,Twice daily,Indefinite (lifelong maintenance)
Belinostat,BELEODAQ,Lymphoma,Oncology – Hematologic,chemical,HDAC1,0.00,500MG/VIAL IV,Once daily,Long-term (until progression / disease control)
Bempedoic Acid; Ezetimibe,NEXLIZET,Familial hypercholesterolemia; Dyslipidemia / hypercholesterolemia; Myocardial infarction (risk reduction); Stroke (risk reduction),Endocrinology – Lipid,chemical,ACLY | NPC1L1,0.01,180MG; 10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Benazepril Hydrochloride,BENAZEPRIL HYDROCHLORIDE,Hypertension,Cardiovascular – Hypertension,chemical,ACE,0.01,40MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Benazepril Hydrochloride; Hydrochlorothiazide,LOTENSIN HCT,Hypertension,Cardiovascular – Hypertension,chemical,ACE | SLC12A3,,20MG; 25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Bendamustine Hydrochloride,BELRAPZO,Lymphoma,Oncology – Hematologic,chemical,DNA inhibitor,0.03,100MG/4ML (25MG/mL) IV,As directed,Long-term (until progression / disease control)
Benzgalantamine Gluconate,ZUNVEYL,Alzheimer's disease / dementia,Neurology – Neurodegeneration,chemical,ACHE,,15MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Benzoyl Peroxide,EPSOLAY,Acne,Dermatology – General,chemical,Releases active oxygen,0.02,5% topical,Once or twice daily,Indefinite (lifelong maintenance)
Benzoyl Peroxide; Clindamycin Phosphate,ACANYA,Acne,Dermatology – General,chemical,rpsB,0.00,3.75%; 1.2% BASE topical,Once or twice daily,Indefinite (lifelong maintenance)
Benzoyl Peroxide; Erythromycin,BENZAMYCIN,Acne,Dermatology – General,chemical,rpsB,0.00,5%; 3% topical,Once or twice daily,Indefinite (lifelong maintenance)
Benzoyl Peroxide; Tretinoin,TWYNEO,Acne,Dermatology – General,chemical,RARG,,3%; 0.1% topical,Once or twice daily,Indefinite (lifelong maintenance)
Benztropine Mesylate,BENZTROPINE MESYLATE,Tardive dyskinesia; Parkinson's disease,Neurology – Movement Disorder,chemical,CHRM1,,1MG/mL,As directed,Indefinite (lifelong maintenance)
Betamethasone Acetate; Betamethasone Sodium Phosphate,CELESTONE SOLUSPAN,Asthma; Allergic rhinitis; Atopic dermatitis,Autoimmune – Dermatology,chemical,NR3C1,,3MG/mL; 3MG BASE/mL,As directed,Indefinite (lifelong maintenance)
Betamethasone Dipropionate,BETAMETHASONE DIPROPIONATE,Skin disorder,Dermatology – General,chemical,NR3C1,,0.05% BASE/SPRAY topical,As directed,Indefinite (lifelong maintenance)
Betamethasone Dipropionate; Calcipotriene,ENSTILAR,Psoriasis,Autoimmune – Dermatology,chemical,NR3C1 | VDR,0.01,0.064%; 0.005% topical,As directed,Indefinite (lifelong maintenance)
Betamethasone Dipropionate; Clotrimazole,CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE,Skin disorder,Dermatology – General,chemical,NR3C1 | ERG11,,0.05% BASE; 1% topical,Once or twice daily,Indefinite (lifelong maintenance)
Betamethasone Valerate,BETA-VAL,Skin disorder,Dermatology – General,chemical,NR3C1,,0.1% BASE topical,Once or twice daily,Indefinite (lifelong maintenance)
Betaxolol Hydrochloride,BETAXOLOL HYDROCHLORIDE,Hypertension; Glaucoma / ocular hypertension,Cardiovascular – Hypertension,chemical,ADRB1,0.00,0.25% BASE ophthalmic,As directed,Indefinite (lifelong maintenance)
Bethanechol Chloride,BETHANECHOL CHLORIDE,GI disorder,Gastroenterology – Other,chemical,CHRM3 | CHRM2,,5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Bexagliflozin,BRENZAVVY,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,SLC5A2,,20MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Bexarotene,BEXAROTENE,Lymphoma,Oncology – Hematologic,chemical,RXRB,0.00,1% topical,Once or twice daily,Long-term (until progression / disease control)
Bicalutamide,BICALUTAMIDE,Prostate cancer (mCRPC),Oncology – Solid Tumor,chemical,AR,,50MG oral,Once or twice daily,Long-term (until progression / disease control)
Bictegravir Sodium; Emtricitabine; Tenofovir Alafenamide Fumarate,BIKTARVY,HIV infection,Infectious – HIV,chemical,pol,6.27,50MG BASE; 200MG … oral,Once or twice daily,Indefinite (lifelong maintenance)
Bimatoprost,BIMATOPROST,Hypertension; Glaucoma / ocular hypertension,Ophthalmology,chemical,PTGFR,0.04,0.03% topical,As directed,Indefinite (lifelong maintenance)
