Drug,Matched_Query,Source,N_Indications,Indications_Parsed,Label_Indication_Text
Acebutolol Hydrochloride,openfda.generic_name=Acebutolol,openFDA label,2,Hypertension; Cardiac arrhythmia,"INDICATIONS AND USAGE Hypertension Acebutolol hydrochloride capsules, USP are indicated for the management of hypertension in adults. It may be used alone or in combination with other antihypertensive agents, especially thiazide-type diuretics. Ventricular Arrhythmias Acebutolol hydrochloride capsules, USP are indicated in the management of ventricular premature beats; it reduces the total number of premature beats, as well as the number of paired and multiform ventricular ectopic beats, and R-on-T beats."
Acetazolamide,openfda.generic_name=Acetazolamide,openFDA label,0,,"INDICATIONS AND USAGE For adjunctive treatment of: edema due to congestive heart failure; drug-induced edema; centrencephalic epilepsies (petit mal, unlocalized seizures); chronic simple (open-angle) glaucoma, secondary glaucoma, and preoperatively in acute angle-closure glaucoma where delay of surgery is desired in order to lower intraocular pressure. Acetazolamide tablets are also indicated for the prevention or amelioration of symptoms associated with acute mountain sickness in climbers attempting rapid ascent and in those who are very susceptible to acute mountain sickness despite gradual "
Acetazolamide Sodium,openfda.generic_name=Acetazolamide,openFDA label,0,,"INDICATIONS AND USAGE For adjunctive treatment of: edema due to congestive heart failure; drug-induced edema; centrencephalic epilepsies (petit mal, unlocalized seizures); chronic simple (open-angle) glaucoma, secondary glaucoma, and preoperatively in acute angle-closure glaucoma where delay of surgery is desired in order to lower intraocular pressure. Acetazolamide tablets are also indicated for the prevention or amelioration of symptoms associated with acute mountain sickness in climbers attempting rapid ascent and in those who are very susceptible to acute mountain sickness despite gradual "
Acitretin,openfda.generic_name=Acitretin,openFDA label,1,Psoriasis,"INDICATIONS AND USAGE Acitretin Capsules, USP are indicated for the treatment of severe psoriasis in adults. Because of significant adverse effects associated with its use, Acitretin Capsules, USP should be prescribed only by those knowledgeable in the systemic use of retinoids. In females of reproductive potential, Acitretin Capsules, USP should be reserved for non-pregnant patients who are unresponsive to other therapies or whose clinical condition contraindicates the use of other treatments (see boxed CONTRAINDICATIONS AND WARNINGS — Acitretin Capsules, USP can cause severe birth defects). "
Aclidinium Bromide,openfda.generic_name=Aclidinium,openFDA label,1,COPD,"DUAKLIR PRESSAIR is a combination of aclidinium bromide (an anticholinergic) and formoterol fumarate (a LABA) indicated for the maintenance treatment of patients with chronic obstructive pulmonary disease (COPD). Limitations of Use: DUAKLIR PRESSAIR is not indicated for the relief of acute bronchospasm or for the treatment of asthma . DUAKLIR PRESSAIR is a combination of aclidinium bromide an anticholinergic, and formoterol fumarate, a long-acting beta 2 -adrenergic agonist (LABA) indicated for the maintenance treatment of patients with chronic obstructive pulmonary disease (COPD). Limitations"
Aclidinium Bromide; Formoterol Fumarate,openfda.brand_name=DUAKLIR PRESSAIR,openFDA label,1,COPD,"DUAKLIR PRESSAIR is a combination of aclidinium bromide (an anticholinergic) and formoterol fumarate (a LABA) indicated for the maintenance treatment of patients with chronic obstructive pulmonary disease (COPD). Limitations of Use: DUAKLIR PRESSAIR is not indicated for the relief of acute bronchospasm or for the treatment of asthma . DUAKLIR PRESSAIR is a combination of aclidinium bromide an anticholinergic, and formoterol fumarate, a long-acting beta 2 -adrenergic agonist (LABA) indicated for the maintenance treatment of patients with chronic obstructive pulmonary disease (COPD). Limitations"
Adapalene,openfda.generic_name=Adapalene,openFDA label,1,Acne,"Adapalene and benzoyl peroxide gel 0.1% / 2.5% is indicated for the topical treatment of acne vulgaris in patients 9 years of age and older. Adapalene and benzoyl peroxide gel 0.1% / 2.5% is a combination of adapalene, a retinoid, and benzoyl peroxide, and is indicated for the topical treatment of acne vulgaris in patients 9 years of age and older."
Adapalene; Benzoyl Peroxide,openfda.brand_name=DIFFERIN EPIDUO,openFDA label,1,Acne,Use For the treatment of acne
Adapalene; Benzoyl Peroxide; Clindamycin Phosphate,openfda.brand_name=CABTREO,openFDA label,1,Acne,"CABTREO is indicated for the topical treatment of acne vulgaris in adult and pediatric patients 12 years of age and older. CABTREO is a combination of clindamycin phosphate (a lincosamide antibacterial), adapalene (a retinoid), and benzoyl peroxide indicated for the topical treatment of acne vulgaris in adult and pediatric patients 12 years of age and older."
Adefovir Dipivoxil,openfda.generic_name=Adefovir Dipivoxil,openFDA label,1,Hepatitis B,"Adefovir dipivoxil tablets are indicated for the treatment of chronic hepatitis B in patients 12 years of age and older with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases (ALT or AST) or histologically active disease. This indication is based on histological, virological, biochemical, and serological responses in adult patients with HBeAg+ and HBeAg- chronic hepatitis B with compensated liver function, and with clinical evidence of lamivudine-resistant hepatitis B virus with either compensated or decompensated liver function. For p"
Afatinib Dimaleate,openfda.brand_name=GILOTRIF,openFDA label,2,Non-small cell lung cancer; Small cell lung cancer,"GILOTRIF is a kinase inhibitor indicated for: First-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test Limitations of Use : Safety and efficacy of GILOTRIF were not established in patients whose tumors have resistant EGFR mutations Treatment of patients with metastatic, squamous NSCLC progressing after platinum-based chemotherapy 1.1 EGFR Mutation-Positive, Metastatic Non-Small Cell Lung Cancer GILOTRIF is indicated for the first-line treatment of pat"
Albuterol Sulfate,openfda.generic_name=Albuterol,openFDA label,1,Bronchospasm,Albuterol Sulfate HFA is a beta 2 -adrenergic agonist indicated for: Treatment or prevention of bronchospasm in adult and pediatric patients aged 4 years and older with reversible obstructive airway disease. Prevention of exercise-induced bronchospasm in adult and pediatric patients aged 4 years and older. 1.1 Bronchospasm Albuterol Sulfate HFA Inhalation Aerosol is indicated for the treatment or prevention of bronchospasm in adult and pediatric patients aged 4 years and older with reversible obstructive airway disease. 1.2 Exercise-Induced Bronchospasm Albuterol Sulfate HFA is indicated for t
Albuterol Sulfate; Budesonide,openfda.brand_name=AIRSUPRA,openFDA label,2,Asthma; Bronchospasm,"AIRSUPRA is indicated for the as-needed treatment or prevention of bronchoconstriction and to reduce the risk of exacerbations in patients with asthma 18 years of age and older. AIRSUPRA is a combination of albuterol, a beta 2 -adrenergic agonist and budesonide, a corticosteroid, indicated for the as-needed treatment or prevention of bronchoconstriction and to reduce the risk of exacerbations in patients with asthma 18 years of age and older."
Albuterol Sulfate; Ipratropium Bromide,openfda.brand_name=COMBIVENT RESPIMAT,openFDA label,2,COPD; Bronchospasm,COMBIVENT RESPIMAT is a combination of ipratropium bromide (an anticholinergic agent) and albuterol sulfate (a beta 2 -adrenergic agonist) indicated for use in patients with chronic obstructive pulmonary disease (COPD) on a regular aerosol bronchodilator who continue to have evidence of bronchospasm and who require a second bronchodilator. COMBIVENT RESPIMAT Inhalation Spray is a combination of ipratropium bromide (an anticholinergic agent) and albuterol sulfate (a beta 2 ‑adrenergic agonist) indicated for: Patients with chronic obstructive pulmonary disease (COPD) on a regular aerosol broncho
Alectinib Hydrochloride,openfda.generic_name=Alectinib,openFDA label,3,Non-small cell lung cancer; Small cell lung cancer; Lymphoma,ALECENSA is a kinase inhibitor indicated for: adjuvant treatment in adult patients following tumor resection of anaplastic lymphoma kinase (ALK)-positive non-small cell lung cancer (NSCLC) (tumors ≥ 4 cm or node positive) as detected by an FDA-approved test. treatment of adult patients with ALK-positive metastatic NSCLC as detected by an FDA-approved test. 1.1 Adjuvant Treatment of Resected ALK-Positive Non-Small Cell Lung Cancer (NSCLC) ALECENSA is indicated as adjuvant treatment in adult patients following tumor resection of anaplastic lymphoma kinase (ALK)-positive non-small cell lung cance
Alendronate Sodium,openfda.generic_name=Alendronate,openFDA label,2,Osteoporosis; Menopausal / hormone therapy,"BINOSTO is a bisphosphonate indicated for: Treatment of osteoporosis in postmenopausal women Treatment to increase bone mass in men with osteoporosis Limitation of use: Optimal duration of use has not been determined. For patients at low-risk for fracture, consider drug discontinuation after 3 to 5 years of use 1.1 Treatment of Osteoporosis in Postmenopausal Women BINOSTO effervescent tablet 70 mg is indicated for the treatment of osteoporosis in postmenopausal women. For the treatment of osteoporosis, alendronate sodium increases bone mass and reduces the incidence of fractures, including tho"
Alendronate Sodium; Cholecalciferol,openfda.brand_name=FOSAMAX PLUS D,openFDA label,2,Osteoporosis; Menopausal / hormone therapy,"FOSAMAX PLUS D is a combination of a bisphosphonate and vitamin D indicated for: Treatment of osteoporosis in postmenopausal women Treatment to increase bone mass in men with osteoporosis Limitations of use : FOSAMAX PLUS D alone should not be used to treat vitamin D deficiency. Optimal duration of use has not been determined. For patients at low-risk for fracture, consider drug discontinuation after 3 to 5 years of use. 1.1 Treatment of Osteoporosis in Postmenopausal Women FOSAMAX ® PLUS D is indicated for the treatment of osteoporosis in postmenopausal women. In postmenopausal women, FOSAMAX"
Alfuzosin Hydrochloride,openfda.generic_name=Alfuzosin,openFDA label,1,Benign prostatic hyperplasia,"Alfuzosin hydrochloride extended-release tablets, USP are indicated for the treatment of signs and symptoms of benign prostatic hyperplasia. Alfuzosin hydrochloride extended-release tablet is an alpha adrenergic antagonist, indicated for the treatment of signs and symptoms of benign prostatic hyperplasia. Important Limitations of Use: Alfuzosin hydrochloride extended-release tablets are not indicated for treatment of hypertension. Alfuzosin hydrochloride extended-release tablets are not indicated for use in the pediatric population. ( 1.1 , 8.4 , 12.3 ) 1.1 Important Limitations of Use Alfuzos"
Aliskiren Hemifumarate,openfda.generic_name=Aliskiren,openFDA label,1,Hypertension,"Tekturna is a renin inhibitor (RI) indicated for the treatment of hypertension in adults and in pediatric patients weighing 50 kg or greater who are at least 6 years of age, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. 1.1 Hypertension Tekturna is indicated for the treatment of hypertension in adults and in pediatric patients weighing 50 kg or greater who are at least 6 years of age and older to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal card"
Alitretinoin,openfda.generic_name=Alitretinoin,openFDA label,0,,"1.1 Kaposi’s Sarcoma PANRETIN GEL is indicated for topical treatment of cutaneous lesions in adults with AIDS related Kaposi’s sarcoma (KS). Limitations of Use: PANRETIN GEL is not indicated when systemic anti-KS therapy is required (including more than 10 new KS lesions in the prior month, symptomatic lymphedema, symptomatic pulmonary KS, or symptomatic visceral involvement) . PANRETIN GEL is a retinoid indicated for the topical treatment of cutaneous lesions in adults with AIDS-related Kaposi’s sarcoma (KS). Limitations of Use : PANRETIN GEL is not indicated when systemic anti-Kaposi’s sarco"
Allopurinol,openfda.generic_name=Allopurinol,openFDA label,2,Lymphoma; Gout,"Allopurinol tablets are indicated for: The management of adults with signs and symptoms of primary or secondary gout (acute attacks, tophi, joint destruction, uric acid lithiasis, and/or nephropathy) The management of adult and pediatric patients with leukemia, lymphoma and solid tumor malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels The management of adult patients with recurrent calcium oxalate calculi whose daily uric acid excretion exceeds 800 mg/day in male patients and 750 mg/day in female patients, despite lifestyle changes (suc"
Allopurinol Sodium,openfda.generic_name=Allopurinol,openFDA label,2,Lymphoma; Gout,"Allopurinol tablets are indicated for: The management of adults with signs and symptoms of primary or secondary gout (acute attacks, tophi, joint destruction, uric acid lithiasis, and/or nephropathy) The management of adult and pediatric patients with leukemia, lymphoma and solid tumor malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels The management of adult patients with recurrent calcium oxalate calculi whose daily uric acid excretion exceeds 800 mg/day in male patients and 750 mg/day in female patients, despite lifestyle changes (suc"
Alogliptin Benzoate,openfda.generic_name=Alogliptin Benzoate,openFDA label,2,Type 2 diabetes; Diabetes mellitus,"Alogliptin and pioglitazone tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus . Alogliptin and pioglitazone tablets are a combination of alogliptin, a dipeptidyl peptidase-4 inhibitor, and pioglitazone, a thiazolidinedione agonist of peroxisome proliferator receptor gamma, indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. Limitations of Use: Alogliptin and pioglitazone tablets are not recommended for use in patients with type 1 diabetes mellitus. Limitation"
Alogliptin Benzoate; Metformin Hydrochloride,openfda.brand_name=KAZANO,openFDA label,2,Type 2 diabetes; Diabetes mellitus,"KAZANO is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. KAZANO is a combination of alogliptin, a dipeptidyl-peptidase-4 (DPP-4) inhibitor and metformin hydrochloride (HCl), a biguanide, indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. Limitations of Use: Should not be used in patients with type 1 diabetes mellitus. Limitations of Use KAZANO is not recommended for use in patients with type 1 diabetes mellitus."
Alogliptin Benzoate; Pioglitazone Hydrochloride,openfda.brand_name=OSENI,openFDA label,2,Type 2 diabetes; Diabetes mellitus,"OSENI is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. OSENI is a combination of alogliptin, a dipeptidyl peptidase-4 inhibitor, and pioglitazone, a thiazolidinedione agonist of peroxisome proliferator receptor gamma, indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. Limitations of Use: OSENI is not recommended for use in patients with type 1 diabetes mellitus. Limitations of Use OSENI is not recommended for use in patients with type 1 diabetes mellitus."
Alpelisib,openfda.generic_name=Alpelisib,openFDA label,0,,VIJOICE is indicated for the treatment of adult and pediatric patients 2 years of age and older with severe manifestations of PIK3CA-Related Overgrowth Spectrum (PROS) who require systemic therapy. This indication is approved under accelerated approval based on response rate and duration of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial(s). VIJOICE is a kinase inhibitor indicated for the treatment of adult and pediatric patients 2 years of age and older with severe manifestations of PIK3CA-Related
Alpha-tocopherol Acetate; Ascorbic Acid; Biotin; Cholecalciferol; Cyanocobalamin; Dexpanthenol; Folic Acid; Niacinamide; Pyridoxine Hydrochloride; Riboflavin 5'-phosphate Sodium; Thiamine Hydrochloride; Vitamin a Palmitate; Vitamin k,openfda.brand_name=INFUVITE ADULT,openFDA label,0,,INFUVITE ADULT is a combination of vitamins indicated for the prevention of vitamin deficiency in adults and children aged 11 and older receiving parenteral nutrition. The physician should not await the development of clinical signs of vitamin deficiency before initiating vitamin therapy. INFUVITE ADULT is a combination of vitamins indicated for prevention of vitamin deficiency in adults and children aged 11 and older receiving parenteral nutrition
Amantadine Hydrochloride,openfda.generic_name=Amantadine,openFDA label,2,Parkinson's disease; Influenza,"INDICATIONS AND USAGE Amantadine hydrochloride capsules, USP are indicated for the prophylaxis and treatment of signs and symptoms of infection caused by various strains of influenza A virus. Amantadine hydrochloride capsules, USP are also indicated in the treatment of parkinsonism and drug-induced extrapyramidal reactions. Influenza A Prophylaxis Amantadine hydrochloride capsules, USP are indicated for chemoprophylaxis against signs and symptoms of influenza A virus infection. Because amantadine does not completely prevent the host immune response to influenza A infection, individuals who tak"
Ambrisentan,,not found,0,,
Amcinonide,openfda.generic_name=Amcinonide,openFDA label,0,,INDICATIONS AND USAGE: Topical corticosteroids are indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.
Amifampridine Phosphate,openfda.generic_name=Amifampridine,openFDA label,0,,FIRDAPSE ® is indicated for the treatment of Lambert-Eaton myasthenic syndrome (LEMS) in adults and pediatric patients 6 years of age and older. FIRDAPSE is a potassium channel blocker indicated for the treatment of Lambert-Eaton myasthenic syndrome (LEMS) in adults and pediatric patients 6 years of age and older.
Amiloride Hydrochloride; Hydrochlorothiazide,openfda.brand_name=AMILORIDE HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,openFDA label,1,Hypertension,"INDICATIONS AND USAGE Amiloride hydrochloride and hydrochlorothiazide tablets are indicated in those patients with hypertension or with congestive heart failure who develop hypokalemia when thiazides or other kaliuretic diuretics are used alone, or in whom maintenance of normal serum potassium levels is considered to be clinically important, e.g., digitalized patients, or patients with significant cardiac arrhythmias. The use of potassium-conserving agents is often unnecessary in patients receiving diuretics for uncomplicated essential hypertension when such patients have a normal diet. Amilor"
Aminophylline,openfda.generic_name=Aminophylline,openFDA label,2,Asthma; COPD,"INDICATIONS AND USAGE Intravenous theophylline is indicated as an adjunct to inhaled beta-2 selective agonists and systemically administered corticosteroids for the treatment of acute exacerbations of the symptoms and reversible airflow obstruction associated with asthma and other chronic lung diseases, e.g., emphysema and chronic bronchitis."
Amiodarone Hydrochloride,openfda.generic_name=Amiodarone,openFDA label,1,Cardiac arrhythmia,"Pacerone is indicated for the treatment of documented, life-threatening recurrent ventricular fibrillation and life-threatening recurrent hemodynamically unstable tachycardia in adults who have not responded to adequate doses of other available antiarrhythmics or when alternative agents cannot be tolerated. Pacerone is an antiarrhythmic indicated for: Recurrent ventricular fibrillation. Recurrent hemodynamically unstable ventricular tachycardia."
Amitriptyline Hydrochloride,openfda.generic_name=Amitriptyline,openFDA label,1,Major depressive disorder,INDICATIONS AND USAGE For the relief of symptoms of depression. Endogenous depression is more likely to be alleviated than are other depressive states.
Amitriptyline Hydrochloride; Chlordiazepoxide,openfda.brand_name=CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE,openFDA label,3,Major depressive disorder; Anxiety disorder; Insomnia,"INDICATIONS AND USAGE Chlordiazepoxide and amitriptyline hydrochloride tablets are indicated for the treatment of patients with moderate to severe depression associated with moderate to severe anxiety. The therapeutic response to chlordiazepoxide and amitriptyline hydrochloride tablets occurs earlier and with fewer treatment failures than when either amitriptyline or chlordiazepoxide is used alone. Symptoms likely to respond in the first week of treatment include: insomnia, feelings of guilt or worthlessness, agitation, psychic and somatic anxiety, suicidal ideation and anorexia."
Amitriptyline Hydrochloride; Perphenazine,openfda.brand_name=PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE,openFDA label,2,Major depressive disorder; Anxiety disorder,"INDICATIONS AND USAGE Perphenazine and amitriptyline hydrochloride tablets are recommended for treatment of patients with moderate to severe anxiety and/or agitation and depressed mood, patients with depression in whom anxiety and/or agitation are severe, and patients with depression and anxiety in association with chronic physical disease. In many of these patients, anxiety masks the depressive state so that, although therapy with a tranquilizer appears to be indicated, the administration of a tranquilizer alone will not be adequate. Schizophrenic patients who have associated depressive sympt"
Amlodipine Benzoate,openfda.substance_name=Amlodipine Benzoate,openFDA label,1,Hypertension,"KATERZIA is a calcium channel blocker and may be used alone or in combination with other antihypertensive and antianginal agents for the treatment of: Hypertension KATERZIA is indicated for the treatment of hypertension in adults and children 6 years and older, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. Coronary Artery Disease Chronic Stable Angina Vasospastic Angina (Prinzmetal’s or Variant Angina) Angiographically Documented Coronary Artery Disease in patients without heart failu"
Amlodipine Besylate,openfda.generic_name=Amlodipine,openFDA label,1,Hypertension,"Amlodipine besylate tablets are calcium channel blocker and may be used alone or in combination with other antihypertensive and antianginal agents for the treatment of: •Hypertension о Amlodipine besylate tablets are indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. •Coronary Artery Disease о Chronic Stable Angina о Vasospastic Angina (Prinzmetal's or Variant Angina) о Angiographically Documented Coronary Artery Disease in patients without hear"
Amlodipine Besylate; Atorvastatin Calcium,openfda.brand_name=CADUET,openFDA label,1,Hypertension,"CADUET (amlodipine and atorvastatin) is indicated in patients for whom treatment with both amlodipine and atorvastatin is appropriate. CADUET is a combination of amlodipine besylate, a calcium channel blocker, and atorvastatin calcium, a HMG-CoA-reductase inhibitor (statin), indicated in patients for whom treatment with both amlodipine and atorvastatin is appropriate . Amlodipine is indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and non-fatal cardiovascular events, primarily strokes and myocardial infarctions. Amlodipine "
Amlodipine Besylate; Benazepril Hydrochloride,openfda.brand_name=AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,openFDA label,1,Hypertension,"Amlodipine and benazepril hydrochloride capsule, is a combination capsule of amlodipine, a dihydropyridine calcium channel blocker (DHP CCB) and benazepril, an angiotensin converting-enzyme (ACE) inhibitor. Amlodipine and benazepril hydrochloride capsule, is indicated for the treatment of hypertension in patients not adequately controlled on monotherapy with either agent . 1.1 Hypertension Amlodipine and benazepril hydrochloride capsules are indicated for the treatment of hypertension in patients not adequately controlled on monotherapy with either agent."
Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil,openfda.brand_name=TRIBENZOR,openFDA label,1,Hypertension,"Tribenzor is indicated for the treatment of hypertension, alone or with other antihypertensive agents, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular (CV) events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including the class to which this drug principally belongs. There are no controlled trials demonstrating risk reduction with Tribenzor. Control of high blood pressure should be part of comprehensive cardiovascular"
Amlodipine Besylate; Hydrochlorothiazide; Valsartan,openfda.brand_name=EXFORGE HCT,openFDA label,1,Hypertension,"Exforge HCT (amlodipine, valsartan, and hydrochlorothiazide) is indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes, including amlodipine, hydrochlorothiazide, and the angiotensin II receptor blocker (ARB) class to which valsartan principally belongs. There are no controlled trials demonstrating risk reduction with Exforge HCT"
Amlodipine Besylate; Indapamide; Telmisartan,openfda.brand_name=WIDAPLIK,openFDA label,1,Hypertension,"Widaplik (telmisartan/amlodipine/indapamide) is indicated for the treatment of hypertension in adult patients, to lower blood pressure. Widaplik may be used as initial therapy in patients likely to need multiple drugs to achieve blood pressure goals. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including angiotensin II receptor blockers, dihydropyridine calcium channel blockers and thiazi"
Amlodipine Besylate; Olmesartan Medoxomil,openfda.brand_name=AZOR,openFDA label,1,Hypertension,"Azor is indicated for the treatment of hypertension, alone or with other antihypertensive agents, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular (CV) events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including the class to which this drug principally belongs. There are no controlled trials demonstrating risk reduction with Azor. Control of high blood pressure should be part of comprehensive cardiovascular risk mana"
