Source,Record_ID,Company_Sponsor,Sponsor_Class,Country,Product_Name,Target_Disease,Disease_Area,Cell_Type,Gene_Target,Stage,Status,Start_Date,Source_URL,Notes
ClinicalTrials.gov,NCT00976287,Sun Yat-sen University,OTHER,,Hepatic artery infusion; Conserved Therapy,Liver Cirrhosis,Gastrointestinal / Liver,Mesenchymal Stem Cell (MSC),,Phase 2,UNKNOWN,2008-01,https://clinicaltrials.gov/study/NCT00976287,Autologous Bone Marrow Mesenchymal Stem Cells Transplantation Via Hepatic Artery in Patients With Liver Cirrhosis
ClinicalTrials.gov,NCT04530487,M.D. Anderson Cancer Center,OTHER,United States,Allogeneic Hematopoietic Stem Cell Transplantation; Cyclosporine; Etoposide; Fludarabine Phosphate; Lapine T-Lymphocyte Immune Globulin; Melphalan; Mycophenolate Mofetil; Tacrolimus; Thiotepa,Desmoplastic Small Round Cell Tumor; Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor; Recurrent Desmoplastic Small Round Cell Tumor; Recurrent Malignant Peripheral Nerve Sheath Tumor; Recurrent Malignant Solid Neoplasm; Recurrent Neuroblastoma; Recurrent Rhabdomyosarcoma; Refractory Desmoplastic Small Round Cell Tumor; Refractory Malignant Peripheral Nerve Sheath Tumor; Refractory Malignant Solid Neoplasm; Refractory Neuroblastoma; Refractory Rhabdomyosarcoma,Oncology / Hematologic Malignancy,Cord Blood / HSC,,Phase 2,TERMINATED,2020-08-19,https://clinicaltrials.gov/study/NCT04530487,Donor Stem Cell Transplant After Chemotherapy for the Treatment of Recurrent or Refractory High-Risk Solid Tumors in Pediatric and Adolescent-Young Adults
ClinicalTrials.gov,NCT04811651,General Hospital of Shenyang Military Region,OTHER,China,Umbilical Cord-derived Mesenchymal Stem Cells; Placebo,Ischemic Stroke,Neurological,Mesenchymal Stem Cell (MSC),,Phase 2,COMPLETED,2021-03-15,https://clinicaltrials.gov/study/NCT04811651,Umbilical Cord-derived Mesenchymal Stem Cells for Ischemic Stroke
ClinicalTrials.gov,NCT04022239,M.D. Anderson Cancer Center,OTHER,United States,Allogeneic Hematopoietic Stem Cell Transplantation; Bendamustine; Cyclophosphamide; Filgrastim-sndz; Fludarabine; Melphalan; Mycophenolate Mofetil; Rituximab; Tacrolimus; Total-Body Irradiation,Hematopoietic and Lymphoid System Neoplasm,Oncology / Hematologic Malignancy,Cord Blood / HSC,,Phase 1/2,RECRUITING,2020-03-13,https://clinicaltrials.gov/study/NCT04022239,Bendamustine With or Without Cyclophosphamide in Preventing GVHD in Patients Undergoing Stem Cell Transplant
ClinicalTrials.gov,NCT00536601,Roswell Park Cancer Institute,OTHER,United States,etoposide; cyclophosphamide; carmustine; melphalan; busulfan; carboplatin; thiotepa; total-body irradiation; autologous hematopoietic stem cell transplantation; autologous-autologous tandem hematopoietic stem cell transplantation,"Adult Acute Lymphoblastic Leukemia in Remission; Adult Acute Myeloid Leukemia in Remission; Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities; Adult Acute Myeloid Leukemia With Del(5q); Adult Acute Myeloid Leukemia With Inv(16)(p13;q22); Adult Acute Myeloid Leukemia With t(15;17)(q22;q12); Adult Acute Myeloid Leukemia With t(16;16)(p13;q22); Adult Acute Myeloid Leukemia With t(8;21)(q22;q22); Adult Nasal Type Extranodal NK/T-cell Lymphoma; Childhood Acute Lymphoblastic Leukemia in Remission; Childhood Acute Myeloid Leukemia in Remission; Childhood Burkitt Lymphoma; Childhood Diffuse Large Cell Lymphoma; Childhood Immunoblastic Large Cell Lymphoma; Childhood Nasal Type Extranodal NK/T-cell Lymphoma; Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor (PNET); Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue; Hepatosplenic T-cell Lymphoma; Intraocular Lymphoma; Nodal Marginal Zone B-cell Lymphoma; Peripheral T-cell Lymphoma; Plasma Cell Neoplasm; Primary Systemic Amyloidosis; Recurrent Adult Acute Lymphoblastic Leukemia; Recurrent Adult Acute Myeloid Leukemia; Recurrent Adult Burkitt Lymphoma; Recurrent Adult Diffuse Large Cell Lymphoma; Recurrent Adult Diffuse Mixed Cell Lymphoma; Recurrent Adult Diffuse Small Cleaved Cell Lymphoma; Recurrent Adult Grade III Lymphomatoid Granulomatosis; Recurrent Adult Hodgkin Lymphoma; Recurrent Adult Immunoblastic Large Cell Lymphoma; Recurrent Adult Lymphoblastic Lymphoma; Recurrent Childhood Acute Lymphoblastic Leukemia; Recurrent Childhood Acute Myeloid Leukemia; Recurrent Childhood Anaplastic Large Cell Lymphoma; Recurrent Childhood Grade III Lymphomatoid Granulomatosis; Recurrent Childhood Large Cell Lymphoma; Recurrent Childhood Lymphoblastic Lymphoma; Recurrent Childhood Small Noncleaved Cell Lymphoma; Recurrent Cutaneous T-cell Non-Hodgkin Lymphoma; Recurrent Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor; Recurrent Grade 1 Follicular Lymphoma; Recurrent Grade 2 Follicular Lymphoma; Recurrent Grade 3 Follicular Lymphoma; Recurrent Malignant Testicular Germ Cell Tumor; Recurrent Mantle Cell Lymphoma; Recurrent Marginal Zone Lymphoma; Recurrent Neuroblastoma; Recurrent Small Lymphocytic Lymphoma; Recurrent/Refractory Childhood Hodgkin Lymphoma; Refractory Chronic Lymphocytic Leukemia; Refractory Multiple Myeloma; Regional Neuroblastoma; Splenic Marginal Zone Lymphoma; Testicular Lymphoma; Unspecified Adult Solid Tumor, Protocol Specific; Unspecified Childhood Solid Tumor, Protocol Specific; Waldenström Macroglobulinemia",Oncology / Hematologic Malignancy,Cord Blood / HSC,,N/A (Device/Behavioral),COMPLETED,2006-06-29,https://clinicaltrials.gov/study/NCT00536601,High-Dose Chemotherapy With or Without Total-Body Irradiation Followed by Autologous Stem Cell Transplant in Treating Patients With Hematologic Cancer or Solid Tumors
ClinicalTrials.gov,NCT02926300,"Kang Stem Biotech Co., Ltd.",INDUSTRY,South Korea,stem cells,Crohn's Disease,Autoimmune / Inflammatory,Stem Cell (Unspecified Type),,Not Reported,UNKNOWN,2015-11,https://clinicaltrials.gov/study/NCT02926300,Long-term Safety and Efficacy of FURESTEM-CD Inj. in Patients With Moderately Active Crohn's Disease(CD)
ClinicalTrials.gov,NCT01626092,"Masonic Cancer Center, University of Minnesota",OTHER,United States,Campath-1H; Clofarabine; Melphalan; Total Body Irradiation with Marrow Boosting; Hematopoietic stem cell transplantation; Cyclosporine A; Mycophenolate mofetil,Lysosomal Storage Disease; Peroxisomal Disorder,Immunodeficiency / Genetic Metabolic Disorder,Cord Blood / HSC,,N/A (Device/Behavioral),COMPLETED,2012-07-11,https://clinicaltrials.gov/study/NCT01626092,Reduced-Intensity Hematopoietic Stem Cell Transplant for High Risk Lysosomal and Peroxisomal Disorders
ClinicalTrials.gov,NCT06458257,Ruijin Hospital,OTHER,China,Allogeneic Hematopoietic Stem Cell Transplantation; Chemotherapy,Acute Myeloid Leukemia,Oncology / Hematologic Malignancy,Cord Blood / HSC,,Not Reported,RECRUITING,2024-10-19,https://clinicaltrials.gov/study/NCT06458257,The Efficacy of Allogeneic Hematopoietic Stem Cell Transplantation in Newly Diagnosed High-relapse-risk CEBPA Mutant Acute Myeloid Leukemia
ClinicalTrials.gov,NCT03473301,"Joanne Kurtzberg, MD",OTHER,United States,Infusion of allogeneic umbilical cord blood; Infusion of MSCs,Cerebral Palsy,Neurological,Cord Blood / HSC,,Phase 1/2,COMPLETED,2018-04-10,https://clinicaltrials.gov/study/NCT03473301,A Study of UCB and MSCs in Children With CP: ACCeNT-CP
ClinicalTrials.gov,NCT02487732,Korea University Anam Hospital,OTHER,South Korea,Ticagrelor; Prasugrel,Acute Coronary Syndrome,Cardiovascular,Progenitor Cell,,Phase 4,COMPLETED,2015-07,https://clinicaltrials.gov/study/NCT02487732,"Comparison of Ticagrelor vs. Prasugrel on Inflammation, Arterial Stiffness, Endothelial Function, and Circulating Endothelial Progenitor Cells in Diabetic Patients With Non-ST Elevation Acute Coronary Syndrome (NSTE-ACS) Requiring Coronary Stenting"
ClinicalTrials.gov,NCT00004087,Garden State Cancer Center at the Center for Molecular Medicine and Immunology,OTHER,United States,filgrastim; autologous bone marrow transplantation; peripheral blood stem cell transplantation; indium In 111 monoclonal antibody MN-14; yttrium Y 90 monoclonal antibody MN-14,Colorectal Cancer; Pancreatic Cancer,Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,Phase 1/2,COMPLETED,1997-03,https://clinicaltrials.gov/study/NCT00004087,Radiolabeled Monoclonal Antibody Therapy Plus Peripheral Stem Cell Transplantation in Treating Patients With Metastatic or Recurrent Colorectal Cancer or Pancreatic Cancer
ClinicalTrials.gov,NCT03288571,Sophia Al-Adwan,OTHER,,Wharton Jelly Mesenchymal stem cells,Diabetic Nephropathies,Diabetes / Endocrine,Mesenchymal Stem Cell (MSC),,Phase 1/2,UNKNOWN,2019-11,https://clinicaltrials.gov/study/NCT03288571,Use of Wharton Jelly in Diabetic Nephropathy
ClinicalTrials.gov,NCT02167958,"Rafic Farah, MD",OTHER,United States,Fludarabine; Cyclophosphamide; Mesna; Total Body Irradiation; Hematopoietic stem cell infusion; Tacrolimus; Mycophenolate; G-CSF,Leukemia; MDS; Myelofibrosis; Lymphoma,Oncology / Hematologic Malignancy,Cord Blood / HSC,,Phase 1,COMPLETED,2015-02-11,https://clinicaltrials.gov/study/NCT02167958,"Nonmyeloablative Hematopoietic Cell Transplantation (HCT) for Patients With Hematologic Malignancies Using Related, HLA-Haploidentical Donors: A Pilot Trial of Peripheral Blood Stem Cells (PBSC) as the Donor Source"
ClinicalTrials.gov,NCT06399952,University of Missouri-Columbia,OTHER,United States,Brain Magnetic Resonance Imaging (MRI); Whole Genome Sequencing; Induced Pluripotential Stem Cells,"Rare Diseases; Autism or Autistic Traits; Development Delay; SYT-SSX Fusion Protein Expression; Sleep Disorder; Epilepsy, Generalized; Motor Delay",Neurological,iPSC (induced pluripotent),,Not Reported,RECRUITING,2024-04-30,https://clinicaltrials.gov/study/NCT06399952,Baker Gordon Syndrome Natural History Study
ClinicalTrials.gov,NCT05667649,"Regeneration Biomedical, Inc.",INDUSTRY,United States,RB-ADSC,Alzheimer Disease,Neurological,Adipose-Derived Stem Cell,,Phase 1,RECRUITING,2023-08-14,https://clinicaltrials.gov/study/NCT05667649,Autologous Activated Adipose-derived Stem Cells (RB-ADSC) Injected Directly Into the Brain for Mild to Moderate Alzheimer's Disease
ClinicalTrials.gov,NCT05210309,Universidad de Zaragoza,OTHER,Spain,Stem Cell Therapy,"Safety; Efficacy, Self",Other / Unclassified,Mesenchymal Stem Cell (MSC),,Not Reported,COMPLETED,2020-01-01,https://clinicaltrials.gov/study/NCT05210309,National Project to Implement Mesenchymal Stem Cell for the Treatment of Perianal Crohn's Fistula (the PRIME Study)
ClinicalTrials.gov,NCT01962233,Hebei Medical University,OTHER,China,mesenchymal stem cells,Hypoxic Ischemic Encephalopathy,Cardiovascular,Mesenchymal Stem Cell (MSC),,Phase 1,UNKNOWN,2013-09,https://clinicaltrials.gov/study/NCT01962233,Umbilical Cord Derived Mesenchymal Stem Cells Therapy in Hypoxic Ischemic Encephalopathy
ClinicalTrials.gov,NCT00007852,University of Nebraska,OTHER,United States,rituximab; carmustine; cytarabine; etoposide; melphalan; autologous hematopoietic stem cell transplantation,Lymphoma,Oncology / Hematologic Malignancy,Cord Blood / HSC,,Phase 2,COMPLETED,2000-09-01,https://clinicaltrials.gov/study/NCT00007852,Rituximab & Combination Chemotherapy Followed by Transplantation in Relapsed or Refractory Non-Hodgkin's Lymphoma
ClinicalTrials.gov,NCT02706132,"Third Affiliated Hospital, Sun Yat-Sen University",OTHER,China,Mesenchymal Stem Cells(MSCs),Liver Transplantation,Gastrointestinal / Liver,Mesenchymal Stem Cell (MSC),,Phase 1/2,UNKNOWN,2014-02,https://clinicaltrials.gov/study/NCT02706132,Therapeutic Strategy and the Role of Mesenchymal Stromal Cells for ABO Incompatible Liver Transplantation
ClinicalTrials.gov,NCT03078621,Stem Cells Arabia,OTHER,,Stem Cell Therapy,Cerebral Palsy,Neurological,Stem Cell (Unspecified Type),,Phase 1/2,UNKNOWN,2016-09,https://clinicaltrials.gov/study/NCT03078621,Bone Marrow-Derived Stem Cell Transplantation for the Treatment of Cerebral Palsy
ClinicalTrials.gov,NCT06218134,Samsung Medical Center,OTHER,South Korea,human Wharton's jelly-derived mesenchymal stem cells,"Charcot-Marie-Tooth Disease, Type 1",Neurological,Mesenchymal Stem Cell (MSC),,N/A (Device/Behavioral),COMPLETED,2024-05-23,https://clinicaltrials.gov/study/NCT06218134,Evaluate the Safety and Potential Efficacy of Human Wharton's Jelly-derived Mesenchymal Stem Cells With Charcot-Marie-Tooth Disease Type 1E
ClinicalTrials.gov,NCT01844063,"Third Affiliated Hospital, Sun Yat-Sen University",OTHER,China,Conventional plus BM-MSC treatment; Conventional plus UC-MSC treatment; Conventional treatment,Liver Failure,Gastrointestinal / Liver,Mesenchymal Stem Cell (MSC),,Phase 1/2,UNKNOWN,2013-07,https://clinicaltrials.gov/study/NCT01844063,Safety and Efficacy of Diverse Mesenchymal Stem Cells Transplantation for Liver Failure
ClinicalTrials.gov,NCT04314687,PT. Prodia Stem Cell Indonesia,INDUSTRY,Indonesia,Umbilical Cord Mesenchymal Stem Cells; Conditioned Medium; Standard Therapy,Cerebral Palsy,Neurological,Mesenchymal Stem Cell (MSC),,Phase 1/2,ACTIVE_NOT_RECRUITING,2021-10-13,https://clinicaltrials.gov/study/NCT04314687,Stem Cell and Conditioned Medium for Cerebral Palsy
ClinicalTrials.gov,NCT01730716,Neuralstem Inc.,INDUSTRY,United States,Human spinal cord stem cell implantation,Amyotrophic Lateral Sclerosis,Neurological,Neural Stem Cell,,Phase 2,UNKNOWN,2013-05,https://clinicaltrials.gov/study/NCT01730716,Dose Escalation and Safety Study of Human Spinal Cord Derived Neural Stem Cell Transplantation for the Treatment of Amyotrophic Lateral Sclerosis
ClinicalTrials.gov,NCT04625738,"Central Hospital, Nancy, France",OTHER,France,Ex vivo expanded Wharton's Jelly Mesenchymal Stem Cells; Placebo,COVID19 ARDS,Respiratory,Mesenchymal Stem Cell (MSC),,Phase 2,COMPLETED,2020-11-06,https://clinicaltrials.gov/study/NCT04625738,Efficacy of Infusions of MSC From Wharton Jelly in the SARS-Cov-2 (COVID-19) Related Acute Respiratory Distress Syndrome
ClinicalTrials.gov,NCT00559104,City of Hope Medical Center,OTHER,United States,carmustine; cyclophosphamide; etoposide; autologous hematopoietic stem cell transplantation; peripheral blood stem cell transplantation; total-body irradiation; G-CSF,Lymphoma,Oncology / Hematologic Malignancy,Cord Blood / HSC,,Phase 2,COMPLETED,1998-10,https://clinicaltrials.gov/study/NCT00559104,Combination Chemotherapy With or Without Total-Body Irradiation Followed By Stem Cell Transplant in Treating Patients With Non-Hodgkin Lymphoma
ClinicalTrials.gov,NCT00723099,Fred Hutchinson Cancer Center,OTHER,United States,Allogeneic Hematopoietic Stem Cell Transplantation; Cyclophosphamide; Cyclosporine; Fludarabine Phosphate; Laboratory Biomarker Analysis; Mycophenolate Mofetil; Total-Body Irradiation; Umbilical Cord Blood Transplantation,Acute Lymphoblastic Leukemia; Acute Myeloid Leukemia; Aggressive Non-Hodgkin Lymphoma; Chronic Myelogenous Leukemia; Chronic Phase Chronic Myelogenous Leukemia; Indolent Non-Hodgkin Lymphoma; Lymphoma; Mixed Phenotype Acute Leukemia; Myelodysplastic Syndrome; Myeloproliferative Neoplasm; Recurrent Chronic Lymphocytic Leukemia; Recurrent Follicular Lymphoma; Recurrent Lymphoplasmacytic Lymphoma; Recurrent Mantle Cell Lymphoma; Recurrent Marginal Zone Lymphoma; Recurrent Plasma Cell Myeloma; Recurrent Small Lymphocytic Lymphoma; Recurrent T-Cell Non-Hodgkin Lymphoma; Refractory Chronic Lymphocytic Leukemia; Refractory Chronic Myelogenous Leukemia; Refractory Follicular Lymphoma; Refractory Hodgkin Lymphoma; Refractory Lymphoplasmacytic Lymphoma; Refractory Mantle Cell Lymphoma; Refractory Small Lymphocytic Lymphoma; T-Cell Non-Hodgkin Lymphoma,Oncology / Hematologic Malignancy,Cord Blood / HSC,,Phase 2,COMPLETED,2008-06-25,https://clinicaltrials.gov/study/NCT00723099,Donor Umbilical Cord Blood Transplant in Treating Patients With Hematologic Cancer
ClinicalTrials.gov,NCT01547806,National Cancer Institute (NCI),NIH,United States,Filgrastim; Plerixafor; Apheresis,Plasma Cell Myeloma; Multiple Myeloma,Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,Phase 2,COMPLETED,2012-02-22,https://clinicaltrials.gov/study/NCT01547806,Collection of Transplant Stem Cells for Plasma Cell Myeloma
ClinicalTrials.gov,NCT02886611,Fondation Ophtalmologique Adolphe de Rothschild,NETWORK,France,,Limbus Corneae,Ophthalmologic,Limbal Stem Cell,,Not Reported,RECRUITING,2015-12-15,https://clinicaltrials.gov/study/NCT02886611,Limbal Stem Cell Deficiency of Genetic Origin: Genotype-phenotype Correlation
ClinicalTrials.gov,NCT01714167,Wenzhou Medical University,OTHER,China,intracerebral stem cell transplantation,Stroke,Neurological,Mesenchymal Stem Cell (MSC),,Phase 1,UNKNOWN,2012-06,https://clinicaltrials.gov/study/NCT01714167,Autologous Bone Marrow Mesenchymal Stem Cell Transplantation for Chronic Stroke
ClinicalTrials.gov,NCT03092284,JKastrup,OTHER,Denmark,Cardiology Stem Cell Centre Adipose Stem Cell (CSCC_ASC); Placebo,Heart Failure,Cardiovascular,Stem Cell (Unspecified Type),,Phase 2,COMPLETED,2015-09,https://clinicaltrials.gov/study/NCT03092284,Allogeneic Stem Cell Therapy in Heart Failure
ClinicalTrials.gov,NCT00521014,Memorial Sloan Kettering Cancer Center,OTHER,United States,filgrastim; rituximab; sargramostim; carmustine; cytarabine; etoposide; melphalan; autologous hematopoietic stem cell transplantation,Lymphoma,Oncology / Hematologic Malignancy,Cord Blood / HSC,,Phase 2,COMPLETED,2007-10,https://clinicaltrials.gov/study/NCT00521014,GM-CSF and Rituximab After Autologous Stem Cell Transplant in Treating Patients With Relapsed or Refractory Follicular Non-Hodgkin Lymphoma
ClinicalTrials.gov,NCT00091104,National Institutes of Health Clinical Center (CC),NIH,United States,MART-1:27-35 peptide vaccine; aldesleukin; filgrastim; incomplete Freund's adjuvant; therapeutic autologous lymphocytes; therapeutic tumor infiltrating lymphocytes; cyclophosphamide; fludarabine phosphate; autologous hematopoietic stem cell transplantation; in vitro-treated peripheral blood stem cell transplantation; total-body irradiation,Melanoma (Skin),Dermatology / Wound Healing,Cord Blood / HSC,,Phase 1,COMPLETED,2004-07,https://clinicaltrials.gov/study/NCT00091104,"Cyclophosphamide and Fludarabine Followed by Vaccine Therapy, Gene-Modified White Blood Cell Infusions, and Aldesleukin in Treating Patients With Metastatic Melanoma"
ClinicalTrials.gov,NCT02282215,Cellerant Therapeutics,INDUSTRY,United States,CLT-008; G-CSF,Acute Myeloid Leukemia; Neutropenia; Infection,Oncology / Hematologic Malignancy,Progenitor Cell,,Phase 2,COMPLETED,2014-12,https://clinicaltrials.gov/study/NCT02282215,Safety and Efficacy of Human Myeloid Progenitor Cells (CLT-008) During Chemotherapy for Acute Myeloid Leukemia
ClinicalTrials.gov,NCT06514508,"Guangzhou Gloria Biosciences Co., Ltd.",INDUSTRY,China,Motixafortide+G-CSF; Placebo+G-CSF,Multiple Myeloma,Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,Phase 3,RECRUITING,2025-12-01,https://clinicaltrials.gov/study/NCT06514508,Mobilization of Stem Cells With Motixafortide (BL-8040) in Combination With G-CSF in Multiple Myeloma Patients
ClinicalTrials.gov,NCT04919135,Vinmec Research Institute of Stem Cell and Gene Technology,OTHER,Vietnam,Umbilical Cord Mesenchymal Stem Cells transplantation; standard frailty treatment and supplementary medication,Frailty,Other / Unclassified,Mesenchymal Stem Cell (MSC),,Phase 1/2,COMPLETED,2021-10-19,https://clinicaltrials.gov/study/NCT04919135,Mesenchymal Stem/Stromal Cell Therapy in the Treatment of Frailty
ClinicalTrials.gov,NCT00008021,"University of California, Davis",OTHER,United States,filgrastim; monoclonal antibody Lym-1; cyclosporine; paclitaxel; peripheral blood stem cell transplantation; indium In 111 monoclonal antibody Lym-1; yttrium Y 90 monoclonal antibody Lym-1,Lymphoma,Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,Phase 1,UNKNOWN,2001-02,https://clinicaltrials.gov/study/NCT00008021,"Monoclonal Antibody Therapy, Chemotherapy, and Peripheral Stem Cell Transplantation in Treating Patients With Refractory Non-Hodgkin's Lymphoma"
